表标题,字段1,字段2,字段3,字段4,地域
"计费项说明","计费项","计费周期","计费方式","说明",-
"计费项说明","标准防护带宽（必选）","包年","预付费","提供标准防护带宽，默认提供 300 Gbps 的标准防护能力，实例内防护 IP 共享。",-
"计费项说明","弹性防护带宽（可选）","按天计费","后付费","根据业务需要选择是否开启弹性防护。",-
"计费项说明","防护 IP 数（必选）","包年","预付费","每个原生防护实例内可添加防护的 IP 数量。",-
"计费项说明","业务规模（必选）","包年","预付费","添加防护业务的正常业务带宽。",-

表标题,防护能力,防护IP数,业务规模,单价（元/年）,地域
"基础套餐","300 Gbps 标准防护能力","10 个","50Mbps","432000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","20个","100Mbps","576000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","50个","300Mbps","840000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","80个","400Mbps","984000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","100个","500Mbps","1104000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","150个","750Mbps","1500000","华北2（北京）"
"基础套餐","300 Gbps 标准防护能力","200个","1000Mbps","1800000","华北2（北京）"

表标题,DDoS 弹性防护能力,售卖价格（元/天），地域
"弹性防护带宽","0 Gbps < 弹性计费量 ≤ 5 Gbps","630","华北2（北京）"
"弹性防护带宽","5 Gbps < 弹性计费量 ≤ 10 Gbps","900","华北2（北京）"
"弹性防护带宽","10 Gbps < 弹性计费量 ≤ 20 Gbps","1800","华北2（北京）"
"弹性防护带宽","20 Gbps < 弹性计费量 ≤ 30 Gbps","3150","华北2（北京）"
"弹性防护带宽","30 Gbps < 弹性计费量 ≤ 40 Gbps","4050","华北2（北京）"
"弹性防护带宽","40 Gbps < 弹性计费量 ≤ 50 Gbps","4950","华北2（北京）"
"弹性防护带宽","50 Gbps < 弹性计费量 ≤ 60 Gbps","5850","华北2（北京）"
"弹性防护带宽","60 Gbps < 弹性计费量 ≤ 70 Gbps","6750","华北2（北京）"
"弹性防护带宽","70 Gbps < 弹性计费量 ≤ 80 Gbps","7380","华北2（北京）"
"弹性防护带宽","80 Gbps< 弹性计费量 ≤ 90 Gbps","8100","华北2（北京）"
"弹性防护带宽","90 Gbps < 弹性计费量 ≤ 100 Gbps","9000","华北2（北京）"
"弹性防护带宽","100 Gbps < 弹性计费量 ≤ 120 Gbps","9900","华北2（北京）"
"弹性防护带宽","120 Gbps < 弹性计费量 ≤ 150 Gbps","11700","华北2（北京）"
"弹性防护带宽","150 Gbps < 弹性计费量 ≤ 200 Gbps","14400","华北2（北京）"
"弹性防护带宽","200 Gbps < 弹性计费量 ≤ 250 Gbps","18900","华北2（北京）"
"弹性防护带宽","250 Gbps < 弹性计费量 ≤ 300 Gbps","23400","华北2（北京）"
"弹性防护带宽","300 Gbps < 弹性计费量 ≤ 400 Gbps","31500","华北2（北京）"
"弹性防护带宽","400 Gbps < 弹性计费量 ≤ 600 Gbps","45000","华北2（北京）"
"弹性防护带宽","600 Gbps < 弹性计费量 ≤ 900 Gbps","72000","华北2（北京）"
"弹性防护带宽","900 Gbps < 弹性计费量","90000","华北2（北京）"

表标题,业务规模,计费规格,单价（元/年/50 Mbps）,地域
"业务规模扩展","50 Mbps（默认）","--","0","华北2（北京）"
"业务规模扩展","50 Mbps < 业务规模 ≤ 600 Mbps","超出 50 Mbps 的部分","45000","华北2（北京）"
"业务规模扩展","600 Mbps < 业务规模 ≤ 15000 Mbps","超出 50 Mbps 的部分","42000","华北2（北京）"
