DDoS 防护能力,单价（元/月）,单价（元/年）
"20 Gbps","8,500","86,700"
"30 Gbps","21,500","206,400"
"60 Gbps","33,000","328,680"
"100 Gbps","35,000","348,600"
"300 Gbps","不支持按月购买","547,800"
"400 Gbps","不支持按月购买","897,000"
"500 Gbps","不支持按月购买","2,604,000"
"600 Gbps","不支持按月购买","4,116,000"
"800 Gbps","不支持按月购买","4,305,600"
,
,
,
带宽规格,计费规格,单价（元/月/50 Mbps）,单价（元/年/50 Mbps）
"100 Mbps","--","0","0"
"业务带宽  > 100 Mbps","超出 100 Mbps 部分","4,000","48,000"
,
,
,
防护端口数,计费规格,单价（元/月/10 个）,单价（元/年/10 个）
"60 个","--","0","0"
"防护端口数 > 60 个","超出 60 个的部分","300 ","3,600"
,
,
,
  防护域名数,计费规格,单价（元/月/10 个）,单价（元/年/10 个）
"60 个","--","0","0"
"防护域名数 > 60 个","超出 60 个的部分","300 ","3,600"
,
,
,
 入向峰值与保底防护带宽的差值区间,单价（元/天）
"0 Gbps < 差值 ≤ 5 Gbps","800"
"5 Gbps < 差值 ≤ 10 Gbps","1,200"
"10 Gbps < 差值 ≤ 20 Gbps","2,200"
" 20 Gbps < 差值 ≤ 30 Gbps ","3,500"
" 30 Gbps < 差值 ≤ 40 Gbps ","4,800"
" 40 Gbps < 差值 ≤ 50 Gbps","6,100"
" 50 Gbps < 差值 ≤ 60 Gbps ","7,300"
" 60 Gbps < 差值 ≤ 70 Gbps ","8,500"
" 70 Gbps < 差值 ≤ 80 Gbps ","9,600"
" 80 Gbps < 差值 ≤ 90 Gbps ","10,600"
" 90 Gbps < 差值 ≤ 100 Gbps ","11,500"
" 100 Gbps < 差值 ≤ 120 Gbps ","13,300"
" 120 Gbps < 差值 ≤ 150 Gbps ","15,700"
" 150 Gbps < 差值 ≤ 200 Gbps ","19,700"
" 200 Gbps < 差值 ≤ 250 Gbps ","23,700"
" 250 Gbps < 差值 ≤ 300 Gbps ","27,700"
" 300 Gbps < 差值 ≤ 400 Gbps ","36,700"
" 400 Gbps < 差值 ≤ 500 Gbps ","45,700"
" 500 Gbps < 差值 ≤ 600 Gbps ","54,700"
" 600 Gbps < 差值 ≤ 700 Gbps ","63,700"
" 700 Gbps < 差值 ≤ 800 Gbps ","72,700"
" 800 Gbps < 差值 ≤ 900 Gbps ","81,700"
" 900 Gbps < 差值 ","100,000"
