E-MapReduce服务费-核数,按量计费 (小时),包月,包1年,地域
"1","0.08","40","480","亚太东南（柔佛）"
"1","0.05","25","300","华东2（上海）"
"1","0.05","25","300","华南1（广州）"
"1","0.05","25","300","华北2（北京）"
,
,
,
实例规格,vCPU,内存（GiB）,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ecs.c2i.2xlarge","8","16","1.5574","760","9120","18240","27360","华北2（北京）"
"ecs.c2i.2xlarge","8","16","1.5574","760","9120","18240","27360","华南1（广州）"
"ecs.c2i.2xlarge","8","16","1.5574","760","9120","18240","27360","华东2（上海）"
"ecs.c2i.4xlarge","112","448","4.9111","2720","32640","65280","97920","亚太东南（柔佛）"
"ecs.c2i.4xlarge","112","448","3.1148","1520","18240","36480","54720","华北2（北京）"
"ecs.c2i.4xlarge","112","448","3.1148","1520","18240","36480","54720","华东2（上海）"
"ecs.c2i.4xlarge","112","448","3.1148","1520","18240","36480","54720","华南1（广州）"
"ecs.c2i.8xlarge","32","64","9.8222","5440","65280","130560","195840","亚太东南（柔佛）"
"ecs.c2i.8xlarge","32","64","6.2295","3040","36480","72960","109440","华东2（上海）"
"ecs.c2i.8xlarge","32","64","6.2295","3040","36480","72960","109440","华北2（北京）"
"ecs.c2i.8xlarge","32","64","6.2295","3040","36480","72960","109440","华南1（广州）"
"ecs.c2i.12xlarge","48","96","14.7333","8160","97920","195840","293760","亚太东南（柔佛）"
"ecs.c2i.12xlarge","48","96","9.3443","4560","54720","109440","164160","华东2（上海）"
"ecs.c2i.12xlarge","48","96","9.3443","4560","54720","109440","164160","华南1（广州）"
"ecs.c2i.12xlarge","48","96","9.3443","4560","54720","109440","164160","华北2（北京）"
"ecs.c1ie.4xlarge","16","32","2.9912","1459.71","17516.52","35033.04","52549.56","华东2（上海）"
"ecs.c1ie.4xlarge","16","32","2.9912","1459.71","17516.52","35033.04","52549.56","华北2（北京）"
"ecs.c1ie.4xlarge","16","32","2.9912","1459.71","17516.52","35033.04","52549.56","华南1（广州）"
"ecs.c1ie.8xlarge","32","64","5.9824","2919.42","35033.04","70066.08","105099.12","华东2（上海）"
