IPsec/SSL VPN网关实例规格,按小时计费,包月,包1年,包2年,地域
"5 Mbps","0.42","250","3000","6000","华东2（上海）"
"5 Mbps","0.42","250","3000","6000","华南1（广州）"
"5 Mbps","0.42","250","3000","6000","华北2（北京）"
"5 Mbps","0.6","330","3960","7920","亚太东南（柔佛）"
"5 Mbps","0.6","330","3960","7920","中国香港"
"5 Mbps","0.6","330","3960","7920","亚太东南（雅加达）"
"10 Mbps","0.42","250","3000","6000","华东2（上海）"
"10 Mbps","0.42","250","3000","6000","华南1（广州）"
"10 Mbps","0.42","250","3000","6000","华北2（北京）"
"10 Mbps","0.6","330","3960","7920","亚太东南（柔佛）"
"10 Mbps","0.6","330","3960","7920","中国香港"
"10 Mbps","0.6","330","3960","7920","亚太东南（雅加达）"
"20 Mbps","1.88","1080","12960","25920","华东2（上海）"
"20 Mbps","1.88","1080","12960","25920","华南1（广州）"
"20 Mbps","1.88","1080","12960","25920","华北2（北京）"
"20 Mbps","1.8","990","11880","23760","亚太东南（柔佛）"
"20 Mbps","1.8","990","11880","23760","中国香港"
"20 Mbps","1.8","990","11880","23760","亚太东南（雅加达）"
"50 Mbps","1.88","1080","12960","25920","华东2（上海）"
"50 Mbps","1.88","1080","12960","25920","华南1（广州）"
"50 Mbps","1.88","1080","12960","25920","华北2（北京）"
"50 Mbps","1.8","990","11880","23760","亚太东南（柔佛）"
"50 Mbps","1.8","990","11880","23760","中国香港"
"50 Mbps","1.8","990","11880","23760","亚太东南（雅加达）"
"100 Mbps","1.88","1080","12960","25920","华东2（上海）"
"100 Mbps","1.88","1080","12960","25920","华南1（广州）"
"100 Mbps","1.88","1080","12960","25920","华北2（北京）"
"100 Mbps","1.8","990","11880","23760","亚太东南（柔佛）"
"100 Mbps","1.8","990","11880","23760","中国香港"
"100 Mbps","1.8","990","11880","23760","亚太东南（雅加达）"
"200 Mbps","1.88","1080","12960","25920","华东2（上海）"
"200 Mbps","1.88","1080","12960","25920","华南1（广州）"
"200 Mbps","1.88","1080","12960","25920","华北2（北京）"
"200 Mbps","1.8","990","11880","23760","亚太东南（柔佛）"
"200 Mbps","1.8","990","11880","23760","中国香港"
"200 Mbps","1.8","990","11880","23760","亚太东南（雅加达）"
"500 Mbps","3.98","1080","12960","25920","华东2（上海）"
"500 Mbps","3.98","1080","12960","25920","华南1（广州）"
"500 Mbps","3.98","1080","12960","25920","华北2（北京）"
"500 Mbps","4.88","2380","28560","57120","亚太东南（柔佛）"
"500 Mbps","4.88","2380","28560","57120","中国香港"
"500 Mbps","4.88","2380","28560","57120","亚太东南（雅加达）"
"1 Gbps","4.88","2380","28560","57120","亚太东南（柔佛）"
"1 Gbps","3.98","1080","12960","25920","华北2（北京）"
"1 Gbps","3.98","1080","12960","25920","华南1（广州）"
"1 Gbps","3.98","1080","12960","25920","华东2（上海）"
"1 Gbps","4.88","2380","28560","57120","中国香港"
"1 Gbps","4.88","2380","28560","57120","亚太东南（雅加达）"
,
,
,
VPN网关带宽规格,按小时计费,包月,包1年,地域
"5 Mbps","0.2","100","1200","中国香港"
"5 Mbps","0.34","125","1500","华南1（广州）"
"5 Mbps","0.34","125","1500","华东2（上海）"
"5 Mbps","0.34","125","1500","华北2（北京）"
"5 Mbps","0.2","100","1200","亚太东南（柔佛）"
"5 Mbps","0.2","100","1200","亚太东南（雅加达）"
"10 Mbps","0.9","550","6600","中国香港"
"10 Mbps","1.59","525","6300","华南1（广州）"
"10 Mbps","1.59","525","6300","华北2（北京）"
"10 Mbps","1.59","525","6300","华东2（上海）"
"10 Mbps","0.9","500","6000","亚太东南（柔佛）"
"10 Mbps","0.9","500","6000","亚太东南（雅加达）"
"20 Mbps","2.3","1450","17400","中国香港"
"20 Mbps","4.09","1325","15900","华南1（广州）"
"20 Mbps","4.09","1325","15900","华北2（北京）"
"20 Mbps","4.09","1325","15900","华东2（上海）"
"20 Mbps","2.3","1300","15600","亚太东南（柔佛）"
"20 Mbps","2.3","1300","15600","亚太东南（雅加达）"
"50 Mbps","6.5","4150","49800","中国香港"
"50 Mbps","11.59","3725","44700","华南1（广州）"
"50 Mbps","11.59","3725","44700","华北2（北京）"
"50 Mbps","11.59","3725","44700","华东2（上海）"
"50 Mbps","6.5","3700","44400","亚太东南（柔佛）"
"50 Mbps","6.5","3700","44400","亚太东南（雅加达）"
"100 Mbps","13.5","8650","103800","中国香港"
"100 Mbps","24.09","7725","92700","华东2（上海）"
"100 Mbps","24.09","7725","92700","华北2（北京）"
"100 Mbps","24.09","7725","92700","华南1（广州）"
"100 Mbps","13.5","7700","92400","亚太东南（柔佛）"
"100 Mbps","13.5","7700","92400","亚太东南（雅加达）"
"200 Mbps","27.5","17650","211800","中国香港"
"200 Mbps","49.09","15725","188700","华北2（北京）"
"200 Mbps","49.09","15725","188700","华东2（上海）"
"200 Mbps","49.09","15725","188700","华南1（广州）"
"200 Mbps","27.5","15700","188400","亚太东南（柔佛）"
"200 Mbps","27.5","15700","188400","亚太东南（雅加达）"
"500 Mbps","69.5","44650","535800","中国香港"
"500 Mbps","124.09","50000","600000","华南1（广州）"
"500 Mbps","124.09","50000","600000","华北2（北京）"
"500 Mbps","124.09","50000","600000","华东2（上海）"
"500 Mbps","69.5","39700","476400","亚太东南（柔佛）"
"500 Mbps","69.5","39700","476400","亚太东南（雅加达）"
"1 Gbps","139.5","89650","1075800","中国香港"
"1 Gbps","249.09","100000","1200000","华东2（上海）"
"1 Gbps","249.09","100000","1200000","华南1（广州）"
"1 Gbps","249.09","100000","1200000","华北2（北京）"
"1 Gbps","139.5","79700","956400","亚太东南（柔佛）"
"1 Gbps","139.5","79700","956400","亚太东南（雅加达）"
,
,
,
SSL连接数规格,按小时计费,包月,包1年,地域
"5","0.1","60","720","华东2（上海）"
"5","0.1","60","720","华南1（广州）"
"5","0.1","60","720","华北2（北京）"
"5","0.1","60","720","亚太东南（柔佛）"
"5","0.1","60","720","中国香港"
"5","0.1","60","720","亚太东南（雅加达）"
"10","0.2","120","1440","华东2（上海）"
"10","0.2","120","1440","华南1（广州）"
"10","0.2","120","1440","华北2（北京）"
"10","0.2","120","1440","亚太东南（柔佛）"
"10","0.2","120","1440","中国香港"
"10","0.2","120","1440","亚太东南（雅加达）"
"20","0.3","180","2160","华东2（上海）"
"20","0.3","180","2160","华南1（广州）"
"20","0.3","180","2160","华北2（北京）"
"20","0.3","180","2160","亚太东南（柔佛）"
"20","0.3","180","2160","中国香港"
"20","0.3","180","2160","亚太东南（雅加达）"
"50","0.6","360","4320","华东2（上海）"
"50","0.6","360","4320","华南1（广州）"
"50","0.6","360","4320","华北2（北京）"
"50","0.6","360","4320","亚太东南（柔佛）"
"50","0.6","360","4320","中国香港"
"50","0.6","360","4320","亚太东南（雅加达）"
"100","1.08","640","7680","华东2（上海）"
"100","1.08","640","7680","华南1（广州）"
"100","1.08","640","7680","华北2（北京）"
"100","1.08","640","7680","亚太东南（柔佛）"
"100","1.08","640","7680","中国香港"
"100","1.08","640","7680","亚太东南（雅加达）"
"200","1.98","1200","14400","华东2（上海）"
"200","1.98","1200","14400","华南1（广州）"
"200","1.98","1200","14400","华北2（北京）"
"200","1.98","1200","14400","亚太东南（柔佛）"
"200","1.98","1200","14400","中国香港"
"200","1.98","1200","14400","亚太东南（雅加达）"
,
,
,
计费项,计费单价,计费单位,计费说明,地域
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","亚太东南（雅加达）"
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","亚太东南（柔佛）"
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华北2（北京）"
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华南1（广州）"
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华东2（上海）"
"IPsec实例费（默认规格）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","中国香港"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","亚太东南（柔佛）"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","亚太东南（雅加达）"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华北2（北京）"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华南1（广州）"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","中国香港"
"IPsec实例费（大型）","0.328","元/小时","IPsec实例费指使用1个IPsec实例所需的费用。","华东2（上海）"
"IPsec流量费","0.75","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","亚太东南（雅加达）"
"IPsec流量费","1","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","中国香港"
"IPsec流量费","0.75","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","亚太东南（柔佛）"
"IPsec流量费","0.8","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","华北2（北京）"
"IPsec流量费","0.8","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","华南1（广州）"
"IPsec流量费","0.8","元/GB","IPsec流量费指出云方向的流量费，即仅收取从火山引擎私有网络到本地IDC或其他私有网络方向的流量费。","华东2（上海）"
