收费类型,计费项,说明,计费方式,地域
"非火山引擎收取","光纤铺设费","您本地数据中心与火山引擎接入点之间的光缆铺设费用，由实际为您提供服务的第三方运营商收取，您需自主向运营商咨询相关价格、线路规划。","以实际收费方为准",-
"非火山引擎收取","楼内线缆租赁费","您的运营商铺设光缆时，进入非火山引擎物业的第三方物业接入点机房，您可能需要向第三方物业支付楼内线缆租赁费。","以实际收费方为准",-
"非火山引擎收取","光模块","火山引擎为您免费提供1 Gbps、10 Gbps两个规格，且传输距离为10千米的光模块。40 Gbps、100 Gbps规格或者1 Gbps、10 Gbps规格但传输距离超过10千米的光模块，您需自行准备。","以实际收费方为准",-
"火山引擎收取","端口资源占用费","按照物理专线端口的规格，收取端口资源占用费。当前仅支持包年包月的计费方式。","包年包月",-
"火山引擎收取","出方向流量费","按照实际专线网关出云方向的流量总和收取费用。仅收取出方向流量费，入方向免费。当前仅支持按量计费的计费方式。","按量计费",-
,
,
,
端口规格,端口资源占用费（元/月）,地域
"1G","1400","亚太东南（柔佛）"
"1G","530","华北2（北京）"
"1G","530","华南1（广州）"
"1G","530","华东2（上海）"
"1G","1400","中国香港"
"1G","1400","亚太东南（雅加达）"
"10G","10500","亚太东南（柔佛）"
"10G","4400","华北2（北京）"
"10G","4400","华南1（广州）"
"10G","4400","华东2（上海）"
"10G","10500","中国香港"
"10G","10500","亚太东南（雅加达）"
"40G","37300","亚太东南（柔佛）"
"40G","15600","华北2（北京）"
"40G","15600","华南1（广州）"
"40G","15600","华东2（上海）"
"40G","37300","中国香港"
"40G","37300","亚太东南（雅加达）"
"100G","79000","亚太东南（柔佛）"
"100G","33900","华北2（北京）"
"100G","33900","华南1（广州）"
"100G","33900","华东2（上海）"
"100G","79000","中国香港"
"100G","79000","亚太东南（雅加达）"
,
,
,
端口规格,端口资源占用费（元/月）,地域
"50M","150","亚太东南（柔佛）"
"50M","150","华北2（北京）"
"50M","150","华南1（广州）"
"50M","150","华东2（上海）"
"50M","150","中国香港"
"50M","150","亚太东南（雅加达）"
"100M","300","亚太东南（柔佛）"
"100M","200","华北2（北京）"
"100M","200","华南1（广州）"
"100M","200","华东2（上海）"
"100M","300","中国香港"
"100M","300","亚太东南（雅加达）"
"200M","370","亚太东南（柔佛）"
"200M","250","华北2（北京）"
"200M","250","华南1（广州）"
"200M","250","华东2（上海）"
"200M","370","中国香港"
"200M","370","亚太东南（雅加达）"
"300M","600","亚太东南（柔佛）"
"300M","300","华北2（北京）"
"300M","300","华南1（广州）"
"300M","300","华东2（上海）"
"300M","600","中国香港"
"300M","600","亚太东南（雅加达）"
"400M","780","亚太东南（柔佛）"
"400M","350","华北2（北京）"
"400M","350","华南1（广州）"
"400M","350","华东2（上海）"
"400M","780","中国香港"
"400M","780","亚太东南（雅加达）"
"500M","950","亚太东南（柔佛）"
"500M","400","华北2（北京）"
"500M","400","华南1（广州）"
"500M","400","华东2（上海）"
"500M","950","中国香港"
"500M","950","亚太东南（雅加达）"
"1G","1400","亚太东南（柔佛）"
"1G","530","华东2（上海）"
"1G","530","华南1（广州）"
"1G","530","华北2（北京）"
"1G","1400","中国香港"
"1G","1400","亚太东南（雅加达）"
"2G","3300","亚太东南（柔佛）"
"2G","1050","华北2（北京）"
"2G","1050","华南1（广州）"
"2G","1050","华东2（上海）"
"2G","3300","中国香港"
"2G","3300","亚太东南（雅加达）"
"5G","7500","亚太东南（柔佛）"
"5G","2550","华北2（北京）"
"5G","2550","华南1（广州）"
"5G","2550","华东2（上海）"
"5G","7500","中国香港"
"5G","7500","亚太东南（雅加达）"
"8G","9500","亚太东南（柔佛）"
"8G","4050","华北2（北京）"
"8G","4050","华南1（广州）"
"8G","4050","华东2（上海）"
"8G","9500","中国香港"
"8G","9500","亚太东南（雅加达）"
"10G","10500","亚太东南（柔佛）"
"10G","4400","华东2（上海）"
"10G","4400","华南1（广州）"
"10G","4400","华北2（北京）"
"10G","10500","中国香港"
"10G","10500","亚太东南（雅加达）"
"20G","8360","华东2（上海）"
"20G","20000","中国香港"
"20G","8360","华南1（广州）"
"20G","8360","华北2（北京）"
"20G","20000","亚太东南（柔佛）"
"20G","20000","亚太东南（雅加达）"
"40G","37300","亚太东南（柔佛）"
"40G","15600","华东2（上海）"
"40G","15600","华南1（广州）"
"40G","15600","华北2（北京）"
"40G","37300","中国香港"
"40G","37300","亚太东南（雅加达）"
"100G","79000","亚太东南（柔佛）"
"100G","33900","华东2（上海）"
"100G","33900","华南1（广州）"
"100G","33900","华北2（北京）"
"100G","79000","中国香港"
"100G","79000","亚太东南（雅加达）"
,
,
,
计费项,单价（元/GB）,地域
"出方向流量费","0.5","亚太东南（雅加达）"
"出方向流量费","0.08","华北2（北京）"
"出方向流量费","0.08","华南1（广州）"
"出方向流量费","0.08","华东2（上海）"
"出方向流量费","0.25","亚太东南（柔佛）"
"出方向流量费","0.25","中国香港"
