实例规格,vCPU,内存,按量计费(元/小时),包月(元/月),包年单价,包3年单价,地域
"es.x4.small","1核","4GiB","0.51","220.05","2640.6","7921.8","亚太东南（雅加达）"
"es.x4.small","1核","4GiB","0.65","182.43","2189.16","6567.48","华北2（北京）"
"es.x4.small","1核","4GiB","0.65","182.43","2189.16","6567.48","华南1（广州）"
"es.x4.small","1核","4GiB","0.65","182.43","2189.16","6567.48","华东2（上海）"
"es.x4.small","1核","4GiB","0.51","242.91","2914.92","8744.76","亚太东南（柔佛）"
"es.x4.small","1核","4GiB","0.51","242.91","2914.92","8744.76","中国香港"
"es.x2.medium","2核","4GiB","0.77","367.21","4406.52","13219.56","亚太东南（雅加达）"
"es.x2.medium","2核","4GiB","0.87","243.18","2918.16","8754.48","华北2（北京）"
"es.x2.medium","2核","4GiB","0.87","243.18","2918.16","8754.48","华南1（广州）"
"es.x2.medium","2核","4GiB","0.87","243.18","2918.16","8754.48","华东2（上海）"
"es.x2.medium","2核","4GiB","0.67","323.82","3885.84","11657.52","亚太东南（柔佛）"
"es.x2.medium","2核","4GiB","0.67","323.82","3885.84","11657.52","中国香港"
"es.x4.medium","2核","8GiB","0.99","440.11","5281.32","15843.96","亚太东南（雅加达）"
"es.x4.medium","2核","8GiB","1.01","485.82","5829.84","17489.52","亚太东南（柔佛）"
"es.x4.medium","2核","8GiB","1.31","364.86","4378.32","13134.96","华北2（北京）"
"es.x4.medium","2核","8GiB","1.31","364.86","4378.32","13134.96","华南1（广州）"
"es.x4.medium","2核","8GiB","1.31","364.86","4378.32","13134.96","华东2（上海）"
"es.x4.medium","2核","8GiB","1.01","485.82","5829.84","17489.52","中国香港"
"es.x8.medium","2核","16GiB","1.26","588.61","7063.32","21189.96","亚太东南（雅加达）"
"es.x8.medium","2核","16GiB","1.41","392.22","4706.64","14119.92","华北2（北京）"
"es.x8.medium","2核","16GiB","1.41","392.22","4706.64","14119.92","华南1（广州）"
"es.x8.medium","2核","16GiB","1.41","392.22","4706.64","14119.92","华东2（上海）"
"es.x8.medium","2核","16GiB","1.27","590.22","7082.64","21247.92","亚太东南（柔佛）"
"es.x8.medium","2核","16GiB","1.27","590.22","7082.64","21247.92","中国香港"
"es.x2.large","4核","8GiB","1.54","768.61","9223.32","27669.96","亚太东南（雅加达）"
"es.x2.large","4核","8GiB","1.74","486.36","5836.32","17508.96","华北2（北京）"
"es.x2.large","4核","8GiB","1.74","486.36","5836.32","17508.96","华南1（广州）"
"es.x2.large","4核","8GiB","1.74","486.36","5836.32","17508.96","华东2（上海）"
"es.x2.large","4核","8GiB","1.34","647.64","7771.68","23315.04","亚太东南（柔佛）"
"es.x2.large","4核","8GiB","1.34","647.64","7771.68","23315.04","中国香港"
"es.x4.large","4核","16GiB","2.01","880.21","10562.52","31687.56","亚太东南（雅加达）"
"es.x4.large","4核","16GiB","2.01","971.64","11659.68","34979.04","亚太东南（柔佛）"
"es.x4.large","4核","16GiB","2.61","729.72","8756.64","26269.92","华北2（北京）"
"es.x4.large","4核","16GiB","2.61","729.72","8756.64","26269.92","华南1（广州）"
"es.x4.large","4核","16GiB","2.61","729.72","8756.64","26269.92","华东2（上海）"
"es.x4.large","4核","16GiB","2.01","971.64","11659.68","34979.04","中国香港"
"es.x8.large","4核","32GiB","2.47","1134.91","13618.92","40856.76","亚太东南（雅加达）"
"es.x8.large","4核","32GiB","2.82","784.44","9413.28","28239.84","华北2（北京）"
"es.x8.large","4核","32GiB","2.82","784.44","9413.28","28239.84","华南1（广州）"
"es.x8.large","4核","32GiB","2.82","784.44","9413.28","28239.84","华东2（上海）"
"es.x8.large","4核","32GiB","2.54","1180.44","14165.28","42495.84","亚太东南（柔佛）"
"es.x8.large","4核","32GiB","2.54","1180.44","14165.28","42495.84","中国香港"
"es.x2.xlarge","8核","16GiB","3.02","1494.91","17938.92","53816.76","亚太东南（雅加达）"
"es.x2.xlarge","8核","16GiB","3.48","972.72","11672.64","35017.92","华北2（北京）"
"es.x2.xlarge","8核","16GiB","3.48","972.72","11672.64","35017.92","华南1（广州）"
"es.x2.xlarge","8核","16GiB","3.48","972.72","11672.64","35017.92","华东2（上海）"
"es.x2.xlarge","8核","16GiB","2.69","1295.28","15543.36","46630.08","亚太东南（柔佛）"
"es.x2.xlarge","8核","16GiB","2.69","1295.28","15543.36","46630.08","中国香港"
"es.x4.xlarge","8核","32GiB","3.97","1723.51","20682.12","62046.36","亚太东南（雅加达）"
"es.x4.xlarge","8核","32GiB","4.03","1943.28","23319.36","69958.08","亚太东南（柔佛）"
"es.x4.xlarge","8核","32GiB","5.22","1459.44","17513.28","52539.84","华北2（北京）"
"es.x4.xlarge","8核","32GiB","5.22","1459.44","17513.28","52539.84","华南1（广州）"
"es.x4.xlarge","8核","32GiB","5.22","1459.44","17513.28","52539.84","华东2（上海）"
"es.x4.xlarge","8核","32GiB","4.03","1943.28","23319.36","69958.08","中国香港"
"es.x8.xlarge","8核","64GiB","4.86","2224.81","26697.72","80093.16","亚太东南（雅加达）"
"es.x8.xlarge","8核","64GiB","5.64","1568.88","18826.56","56479.68","华北2（北京）"
"es.x8.xlarge","8核","64GiB","5.64","1568.88","18826.56","56479.68","华南1（广州）"
"es.x8.xlarge","8核","64GiB","5.64","1568.88","18826.56","56479.68","华东2（上海）"
"es.x8.xlarge","8核","64GiB","5.08","2360.88","28330.56","84991.68","亚太东南（柔佛）"
"es.x8.xlarge","8核","64GiB","5.08","2360.88","28330.56","84991.68","中国香港"
"es.x1.2xlarge","16核","16GiB","5.59","2615.41","31384.92","94154.76","亚太东南（雅加达）"
"es.x1.2xlarge","16核","16GiB","5.23","1458.72","17504.64","52513.92","华北2（北京）"
"es.x1.2xlarge","16核","16GiB","5.23","1458.72","17504.64","52513.92","华南1（广州）"
"es.x1.2xlarge","16核","16GiB","5.23","1458.72","17504.64","52513.92","华东2（上海）"
"es.x1.2xlarge","16核","16GiB","5.33","2535","30420","91260","亚太东南（柔佛）"
"es.x1.2xlarge","16核","16GiB","5.33","2535","30420","91260","中国香港"
"es.x2.2xlarge","16核","32GiB","6.26","2970.91","35650.92","106952.76","亚太东南（雅加达）"
"es.x2.2xlarge","16核","32GiB","6.96","1945.44","23345.28","70035.84","华东2（上海）"
"es.x2.2xlarge","16核","32GiB","6.96","1945.44","23345.28","70035.84","华南1（广州）"
"es.x2.2xlarge","16核","32GiB","6.96","1945.44","23345.28","70035.84","华北2（北京）"
"es.x2.2xlarge","16核","32GiB","5.38","2590.56","31086.72","93260.16","亚太东南（柔佛）"
"es.x2.2xlarge","16核","32GiB","5.38","2590.56","31086.72","93260.16","中国香港"
"es.x4.2xlarge","16核","64GiB","7.88","3409.21","40910.52","122731.56","亚太东南（雅加达）"
"es.x4.2xlarge","16核","64GiB","8.06","3886.56","46638.72","139916.16","亚太东南（柔佛）"
"es.x4.2xlarge","16核","64GiB","10.45","2918.88","35026.56","105079.68","华北2（北京）"
"es.x4.2xlarge","16核","64GiB","10.45","2918.88","35026.56","105079.68","华南1（广州）"
"es.x4.2xlarge","16核","64GiB","10.45","2918.88","35026.56","105079.68","华东2（上海）"
"es.x4.2xlarge","16核","64GiB","8.06","3886.56","46638.72","139916.16","中国香港"
"es.x8.2xlarge","16核","128GiB","9.72","4449.61","53395.32","160185.96","亚太东南（雅加达）"
"es.x8.2xlarge","16核","128GiB","11.28","3137.76","37653.12","112959.36","华北2（北京）"
"es.x8.2xlarge","16核","128GiB","11.28","3137.76","37653.12","112959.36","华南1（广州）"
"es.x8.2xlarge","16核","128GiB","11.28","3137.76","37653.12","112959.36","华东2（上海）"
"es.x8.2xlarge","16核","128GiB","10.16","4721.76","56661.12","169983.36","亚太东南（柔佛）"
"es.x8.2xlarge","16核","128GiB","10.16","4721.76","56661.12","169983.36","中国香港"
"es.x2.2.5xlarge","24核","48GiB","9.23","4611.61","55339.32","166017.96","亚太东南（雅加达）"
"es.x2.2.5xlarge","24核","48GiB","10.44","2918.16","35017.92","105053.76","华北2（北京）"
"es.x2.2.5xlarge","24核","48GiB","10.44","2918.16","35017.92","105053.76","华南1（广州）"
"es.x2.2.5xlarge","24核","48GiB","10.44","2918.16","35017.92","105053.76","华东2（上海）"
"es.x2.2.5xlarge","24核","48GiB","8.07","3885.84","46630.08","139890.24","亚太东南（柔佛）"
"es.x2.2.5xlarge","24核","48GiB","8.07","3885.84","46630.08","139890.24","中国香港"
"es.x4.2.5xlarge","24核","96GiB","12.04","5281.21","63374.52","190123.56","亚太东南（雅加达）"
"es.x4.2.5xlarge","24核","96GiB","15.68","4378.32","52539.84","157619.52","华北2（北京）"
"es.x4.2.5xlarge","24核","96GiB","15.68","4378.32","52539.84","157619.52","华南1（广州）"
"es.x4.2.5xlarge","24核","96GiB","15.68","4378.32","52539.84","157619.52","华东2（上海）"
"es.x4.2.5xlarge","24核","96GiB","12.09","5829.84","69958.08","209874.24","亚太东南（柔佛）"
"es.x4.2.5xlarge","24核","96GiB","12.09","5829.84","69958.08","209874.24","中国香港"
"es.x8.2.5xlarge","24核","192GiB","14.81","6809.41","81712.92","245138.76","亚太东南（雅加达）"
"es.x8.2.5xlarge","24核","192GiB","16.92","4706.64","56479.68","169439.04","华北2（北京）"
"es.x8.2.5xlarge","24核","192GiB","16.92","4706.64","56479.68","169439.04","华南1（广州）"
"es.x8.2.5xlarge","24核","192GiB","16.92","4706.64","56479.68","169439.04","华东2（上海）"
"es.x8.2.5xlarge","24核","192GiB","15.24","7082.64","84991.68","254975.04","亚太东南（柔佛）"
"es.x8.2.5xlarge","24核","192GiB","15.24","7082.64","84991.68","254975.04","中国香港"
"es.x1.3xlarge","32核","32GiB","11.18","5230.81","62769.72","188309.16","亚太东南（雅加达）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华北2（北京）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华南1（广州）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华东2（上海）"
"es.x1.3xlarge","32核","32GiB","10.68","5070","60840","182520","亚太东南（柔佛）"
"es.x1.3xlarge","32核","32GiB","10.68","5070","60840","182520","中国香港"
"es.x2.3xlarge","32核","64GiB","12.47","5904.91","70858.92","212576.76","亚太东南（雅加达）"
"es.x2.3xlarge","32核","64GiB","10.76","5181.12","62173.44","186520.32","亚太东南（柔佛）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华东2（上海）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华南1（广州）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华北2（北京）"
"es.x2.3xlarge","32核","64GiB","10.76","5181.12","62173.44","186520.32","中国香港"
"es.x4.3xlarge","32核","128GiB","15.75","6818.41","81820.92","245462.76","亚太东南（雅加达）"
"es.x4.3xlarge","32核","128GiB","20.9","5837.76","70053.12","210159.36","华北2（北京）"
"es.x4.3xlarge","32核","128GiB","20.9","5837.76","70053.12","210159.36","华南1（广州）"
