节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"rds.mysql.d1.2c4g(独享规格-2C4G)","0.89","427","5124","10248","15372","个","中国香港"
"rds.mysql.d1.2c4g(独享规格-2C4G)","0.5","240","2880","5760","8640","个","华南1（广州）"
"rds.mysql.d1.2c4g(独享规格-2C4G)","0.5","240","2880","5760","8640","个","华东2（上海）"
"rds.mysql.d1.2c4g(独享规格-2C4G)","0.5","240","2880","5760","8640","个","华北2（北京）"
"rds.mysql.d1.2c4g(独享规格-2C4G)","0.75","360","4320","8640","12960","个","亚太东南（柔佛）"
"rds.mysql.d1.2c4g(独享规格-2C4G)","1.25","600","7200","14400","21600","个","亚太东南（雅加达）"
"rds.mysql.d1.2c8g(独享规格-2C8G)","1.62","779","9348","18696","28044","个","中国香港"
"rds.mysql.d1.2c8g(独享规格-2C8G)","0.89","425","5100","10200","15300","个","华东2（上海）"
"rds.mysql.d1.2c8g(独享规格-2C8G)","0.89","425","5100","10200","15300","个","华北2（北京）"
"rds.mysql.d1.2c8g(独享规格-2C8G)","0.89","425","5100","10200","15300","个","华南1（广州）"
"rds.mysql.d1.2c8g(独享规格-2C8G)","1.335","637.5","7650","15300","22950","个","亚太东南（柔佛）"
"rds.mysql.d1.2c8g(独享规格-2C8G)","1.67","800","9600","19200","28800","个","亚太东南（雅加达）"
"rds.mysql.d1.2c16g(独享规格-2C16G)","2.14","1026","12312","24624","36936","个","中国香港"
"rds.mysql.d1.2c16g(独享规格-2C16G)","0.94","450","5400","10800","16200","个","华东2（上海）"
"rds.mysql.d1.2c16g(独享规格-2C16G)","0.94","450","5400","10800","16200","个","华南1（广州）"
"rds.mysql.d1.2c16g(独享规格-2C16G)","0.94","450","5400","10800","16200","个","华北2（北京）"
"rds.mysql.d1.2c16g(独享规格-2C16G)","1.41","675","8100","16200","24300","个","亚太东南（柔佛）"
"rds.mysql.d1.2c16g(独享规格-2C16G)","2.19","1050","12600","25200","37800","个","亚太东南（雅加达）"
"rds.mysql.d1.4c8g(独享规格-4C8G)","1.88","902","10824","21648","32472","个","中国香港"
"rds.mysql.d1.4c8g(独享规格-4C8G)","1","480","5760","11520","17280","个","华北2（北京）"
"rds.mysql.d1.4c8g(独享规格-4C8G)","1","480","5760","11520","17280","个","华东2（上海）"
"rds.mysql.d1.4c8g(独享规格-4C8G)","1","480","5760","11520","17280","个","华南1（广州）"
"rds.mysql.d1.4c8g(独享规格-4C8G)","1.5","720","8640","17280","25920","个","亚太东南（柔佛）"
"rds.mysql.d1.4c8g(独享规格-4C8G)","2.5","1200","14400","28800","43200","个","亚太东南（雅加达）"
"rds.mysql.d1.4c16g(独享规格-4C16G)","2.69","1292","15504","31008","46512","个","中国香港"
"rds.mysql.d1.4c16g(独享规格-4C16G)","1.5","720","8640","17280","25920","个","华北2（北京）"
"rds.mysql.d1.4c16g(独享规格-4C16G)","1.5","720","8640","17280","25920","个","华东2（上海）"
"rds.mysql.d1.4c16g(独享规格-4C16G)","2.25","1080","12960","25920","38880","个","亚太东南（柔佛）"
"rds.mysql.d1.4c16g(独享规格-4C16G)","1.5","720","8640","17280","25920","个","华南1（广州）"
"rds.mysql.d1.4c16g(独享规格-4C16G)","3.34","1600","19200","38400","57600","个","亚太东南（雅加达）"
"rds.mysql.d1.4c32g(独享规格-4C32G)","4.16","1995","23940","47880","71820","个","中国香港"
"rds.mysql.d1.4c32g(独享规格-4C32G)","1.75","840","10080","20160","30240","个","华北2（北京）"
"rds.mysql.d1.4c32g(独享规格-4C32G)","1.75","840","10080","20160","30240","个","华南1（广州）"
"rds.mysql.d1.4c32g(独享规格-4C32G)","1.75","840","10080","20160","30240","个","华东2（上海）"
"rds.mysql.d1.4c32g(独享规格-4C32G)","2.625","1260","15120","30240","45360","个","亚太东南（柔佛）"
"rds.mysql.d1.4c32g(独享规格-4C32G)","4.38","2100","25200","50400","75600","个","亚太东南（雅加达）"
"rds.mysql.d1.8c16g(独享规格-8C16G)","5.64","2707","32484","64968","97452","个","中国香港"
"rds.mysql.d1.8c16g(独享规格-8C16G)","2","960","11520","23040","34560","个","华北2（北京）"
"rds.mysql.d1.8c16g(独享规格-8C16G)","2","960","11520","23040","34560","个","华东2（上海）"
"rds.mysql.d1.8c16g(独享规格-8C16G)","2","960","11520","23040","34560","个","华南1（广州）"
"rds.mysql.d1.8c16g(独享规格-8C16G)","3","1440","17280","34560","51840","个","亚太东南（柔佛）"
"rds.mysql.d1.8c16g(独享规格-8C16G)","6.05","2900","34800","69600","104400","个","亚太东南（雅加达）"
"rds.mysql.d1.8c32g(独享规格-8C32G)","6.69","3211","38532","77064","115596","个","中国香港"
"rds.mysql.d1.8c32g(独享规格-8C32G)","3","1440","17280","34560","51840","个","华东2（上海）"
"rds.mysql.d1.8c32g(独享规格-8C32G)","3","1440","17280","34560","51840","个","华北2（北京）"
"rds.mysql.d1.8c32g(独享规格-8C32G)","4.5","2160","25920","51840","77760","个","亚太东南（柔佛）"
"rds.mysql.d1.8c32g(独享规格-8C32G)","3","1440","17280","34560","51840","个","华南1（广州）"
"rds.mysql.d1.8c32g(独享规格-8C32G)","7.09","3400","40800","81600","122400","个","亚太东南（雅加达）"
"rds.mysql.d1.8c64g(独享规格-8C64G)","8.43","4047","48564","97128","145692","个","中国香港"
"rds.mysql.d1.8c64g(独享规格-8C64G)","3.56","1710","20520","41040","61560","个","华东2（上海）"
"rds.mysql.d1.8c64g(独享规格-8C64G)","3.56","1710","20520","41040","61560","个","华南1（广州）"
"rds.mysql.d1.8c64g(独享规格-8C64G)","3.56","1710","20520","41040","61560","个","华北2（北京）"
"rds.mysql.d1.8c64g(独享规格-8C64G)","5.34","2565","30780","61560","92340","个","亚太东南（柔佛）"
"rds.mysql.d1.8c64g(独享规格-8C64G)","8.96","4300","51600","103200","154800","个","亚太东南（雅加达）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","7.22","3467","41604","83208","124812","个","中国香港"
"rds.mysql.d1.16c32g(独享规格-16C32G)","6","2880","34560","69120","103680","个","亚太东南（柔佛）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","4","1920","23040","46080","69120","个","华东2（上海）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","4","1920","23040","46080","69120","个","华北2（北京）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","4","1920","23040","46080","69120","个","华南1（广州）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","11.46","5500","66000","132000","198000","个","亚太东南（雅加达）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","10.49","5035","60420","120840","181260","个","中国香港"
"rds.mysql.d1.16c64g(独享规格-16C64G)","9","4320","51840","103680","155520","个","亚太东南（柔佛）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华北2（北京）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华东2（上海）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华南1（广州）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","13.96","6700","80400","160800","241200","个","亚太东南（雅加达）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","13.75","6602","79224","158448","237672","个","中国香港"
"rds.mysql.d1.16c96g(独享规格-16C96G)","13.5","6480","77760","155520","233280","个","亚太东南（柔佛）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华北2（北京）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华南1（广州）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华东2（上海）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","16.67","8000","96000","192000","288000","个","亚太东南（雅加达）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","17.02","8170","98040","196080","294120","个","中国香港"
