节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"1C2G","0.375","180","2160","4320","6480","个","中国香港"
"1C2G","0.25","120","1440","2880","4320","个","华南1（广州）"
"1C2G","0.375","180","2160","4320","6480","个","亚太东南（柔佛）"
"1C2G","0.25","120","1440","2880","4320","个","华北2（北京）"
"1C2G","0.25","120","1440","2880","4320","个","华东2（上海）"
"1C2G","0.375","180","2160","4320","6480","个","亚太东南（雅加达）"
"2C4G","0.784","376.32","4515.84","9031.68","13547.52","个","中国香港"
"2C4G","0.5","240","2880","5760","8640","个","华南1（广州）"
"2C4G","0.75","360","4320","8640","12960","个","亚太东南（柔佛）"
"2C4G","0.5","240","2880","5760","8640","个","华北2（北京）"
"2C4G","0.5","240","2880","5760","8640","个","华东2（上海）"
"2C4G","0.671","322.08","3864.96","7729.92","11594.88","个","亚太东南（雅加达）"
"2C8G","1.211","581.28","6975.36","13950.72","20926.08","个","中国香港"
"2C8G","0.89","425","5100","10200","15300","个","华东2（上海）"
"2C8G","0.89","425","5100","10200","15300","个","华北2（北京）"
"2C8G","1.335","637.5","7650","15300","22950","个","亚太东南（柔佛）"
"2C8G","0.89","425","5100","10200","15300","个","华南1（广州）"
"2C8G","1.052","504.96","6059.52","12119.04","18178.56","个","亚太东南（雅加达）"
"2C16G","1.434","688.32","8259.84","16519.68","24779.52","个","中国香港"
"2C16G","0.94","450","5400","10800","16200","个","华南1（广州）"
"2C16G","0.94","450","5400","10800","16200","个","华东2（上海）"
"2C16G","0.94","450","5400","10800","16200","个","华北2（北京）"
"2C16G","1.41","675","8100","16200","24300","个","亚太东南（柔佛）"
"2C16G","1.242","596.16","7153.92","14307.84","21461.76","个","亚太东南（雅加达）"
"4C8G","1.922","922.56","11070.72","22141.44","33212.16","个","中国香港"
"4C8G","1","480","5760","11520","17280","个","华东2（上海）"
"4C8G","1","480","5760","11520","17280","个","华北2（北京）"
"4C8G","1.5","720","8640","17280","25920","个","亚太东南（柔佛）"
"4C8G","1","480","5760","11520","17280","个","华南1（广州）"
"4C8G","1.5","720","8640","17280","25920","个","亚太东南（雅加达）"
"4C16G","2.405","1154.4","13852.8","27705.6","41558.4","个","中国香港"
"4C16G","1.5","720","8640","17280","25920","个","华东2（上海）"
"4C16G","1.5","720","8640","17280","25920","个","华北2（北京）"
"4C16G","2.25","1080","12960","25920","38880","个","亚太东南（柔佛）"
