计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
"标准版-高可用","独享型","rds.mssql.se.ha.x8.2c16g","6.5","3120","37440","74880","112320","华东2（上海）"
"标准版-高可用","独享型","rds.mssql.se.ha.x8.2c16g","6.5","3120","37440","74880","112320","华南1（广州）"
"标准版-高可用","独享型","rds.mssql.se.ha.x8.2c16g","6.5","3120","37440","74880","112320","华北2（北京）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.4c32g","13","6240","74880","149760","224640","华东2（上海）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.4c32g","13","6240","74880","149760","224640","华南1（广州）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.4c32g","13","6240","74880","149760","224640","华北2（北京）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.8c64g","26","12480","149760","299520","449280","华东2（上海）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.8c64g","26","12480","149760","299520","449280","华南1（广州）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.8c64g","26","12480","149760","299520","449280","华北2（北京）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.16c128g","52","24960","299520","599040","898560","华东2（上海）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.16c128g","52","24960","299520","599040","898560","华南1（广州）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.16c128g","52","24960","299520","599040","898560","华北2（北京）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.24c192g","78","37440","449280","898560","1347840","华东2（上海）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.24c192g","78","37440","449280","898560","1347840","华南1（广州）"
" 标准版-高可用","独享型","rds.mssql.se.ha.x8.24c192g","78","37440","449280","898560","1347840","华北2（北京）"
" 标准版-高可用","独享Ⅱ型","rds.mssql.3il.x8.medium.s2","6.5","3120","37440","74880","112320","华东2（上海）"
" 标准版-高可用","独享Ⅱ型","rds.mssql.3il.x8.medium.s2","11.05","5304","63648","127296","190944","中国香港"
" 标准版-高可用","独享Ⅱ型","rds.mssql.3il.x8.medium.s2","6.5","3120","37440","74880","112320","华南1（广州）"
" 标准版-高可用","独享Ⅱ型","rds.mssql.3il.x8.medium.s2","6.5","3120","37440","74880","112320","华北2（北京）"
" 标准版-高可用","独享Ⅱ型","rds.mssql.3il.x8.medium.s2","11.7","5616","67392","134784","202176","亚太东南（雅加达）"
