实例规格,vCPU,内存 (GiB),处理器型号,GPU型号,GPU显存(GB),按量计费 (小时),包月,包1年,包2年,包3年,地域
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.7523","420.22","5042.64","10085.28","15127.92","亚太东南（雅加达）"
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.7889","418.28","5019.42","10038.84","15058.26","亚太东南（柔佛）"
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.5192","253.38","3040.56","6081.12","9121.68","华南1（广州）"
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.5192","253.38","3040.56","6081.12","9121.68","华东2（上海）"
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.5192","253.38","3040.56","6081.12","9121.68","华北2（北京）"
"ecs.g3i.large","2核","8GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","0.8275","457.98","5495.71","10991.42","16487.14","中国香港"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.5046","840.45","10085.4","20170.8","30256.2","亚太东南（雅加达）"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.0384","506.76","6081.12","12162.24","18243.36","华南1（广州）"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.5777","836.57","10038.84","20077.68","30116.52","亚太东南（柔佛）"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.0384","506.76","6081.12","12162.24","18243.36","华东2（上海）"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.0384","506.76","6081.12","12162.24","18243.36","华北2（北京）"
"ecs.g3i.xlarge","4核","16GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","1.6551","915.95","10991.42","21982.85","32974.27","中国香港"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","3.0092","1680.89","20170.68","40341.36","60512.04","亚太东南（雅加达）"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","2.0769","1013.52","12162.24","24324.48","36486.72","华南1（广州）"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","3.1555","1673.14","20077.68","40155.36","60233.04","亚太东南（柔佛）"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","2.0769","1013.52","12162.24","24324.48","36486.72","华东2（上海）"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","2.0769","1013.52","12162.24","24324.48","36486.72","华北2（北京）"
"ecs.g3i.2xlarge","8核","32GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","3.3101","1831.9","21982.85","43965.7","65948.54","中国香港"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","6.0184","3361.78","40341.36","80682.72","121024.08","亚太东南（雅加达）"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","4.1538","2027.04","24324.48","48648.96","72973.44","华南1（广州）"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","6.311","3346.28","40155.36","80310.72","120466.08","亚太东南（柔佛）"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","4.1538","2027.04","24324.48","48648.96","72973.44","华东2（上海）"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","4.1538","2027.04","24324.48","48648.96","72973.44","华北2（北京）"
"ecs.g3i.4xlarge","16核","64GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","6.6202","3663.81","43965.7","87931.39","131897.09","中国香港"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","12.0368","6723.57","80682.84","161365.68","242048.52","亚太东南（雅加达）"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","8.3076","4054.08","48648.96","97297.92","145946.88","华南1（广州）"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","12.6219","6692.56","80310.72","160621.44","240932.16","亚太东南（柔佛）"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","8.3076","4054.08","48648.96","97297.92","145946.88","华东2（上海）"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","8.3076","4054.08","48648.96","97297.92","145946.88","华北2（北京）"
"ecs.g3i.8xlarge","32核","128GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","13.2404","7327.62","87931.39","175862.78","263794.18","中国香港"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","18.0551","10085.35","121024.2","242048.4","363072.6","亚太东南（雅加达）"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","12.4614","6081.12","72973.44","145946.88","218920.32","华南1（广州）"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","18.9329","10038.84","120466.08","240932.16","361398.24","亚太东南（柔佛）"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","12.4614","6081.12","72973.44","145946.88","218920.32","华东2（上海）"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","12.4614","6081.12","72973.44","145946.88","218920.32","华北2（北京）"
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","19.8606","10991.42","131897.09","263794.18","395691.26","中国香港"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","24.0735","13447.14","161365.68","322731.36","484097.04","亚太东南（雅加达）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华南1（广州）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","25.2439","13385.12","160621.44","321242.88","481864.32","亚太东南（柔佛）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华东2（上海）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华北2（北京）"
