服务套餐名称,单次订购实例数,单价（元/路/月）
"旗舰型","x<1000","180"
"加强型","x<1000","96"
"通用型","x<1000","70"
"基础型","x<1000","62"
,
,
,
服务套餐名称,单次订购实例数,单价（元/路/月）
"旗舰型","1000≤x<5000","175"
"加强型","1000≤x<5000","94"
"通用型","1000≤x<5000","68"
"基础型","1000≤x<5000","60"
,
,
,
服务套餐名称,单次订购实例数,单价（元/路/月）
"旗舰型","5000≤x","170"
"加强型","5000≤x","92"
"通用型","5000≤x","66"
"基础型","5000≤x","58"
,
,
,
服务套餐名称,日订购实例峰值,单价（元/路/日）
"旗舰型","x<1000","7"
"旗舰型","1000≤x<5000","6.8"
"旗舰型","5000≤x","6.6"
"加强型","x<1000","3.8"
"加强型","1000≤x<5000","3.7"
"加强型","5000≤x","3.6"
"通用型","x<1000","2.7"
"通用型","1000≤x<5000","2.6"
"通用型","5000≤x","2.5"
"基础型","x<1000","2.4"
"基础型","1000≤x<5000","2.3"
"基础型","5000≤x","2.2"
,
,
,
计费项,计费标准,含税单价（元/Mbps/月）
"带宽","月结95带宽峰值计费，按月后付费","20"
