域名,1年注册费,3年注册费,5年注册费,10年注册费,1年续费,3年续费,5年续费,9年续费,转入费,赎回售卖价
".com","82","266","450","910","92","276","460","828","92","1166"
".cn","36","120","204","414","42","126","210","378","42","589"
".net","96","306","516","1041","105","315","525","945","105","1175"
"英文.com.cn","36","120","204","414","42","126","210","378","42","589"
".top","14","86","158","338","36","108","180","324","36","1351"
".xyz","15","195","375","825","90","270","450","810","90","1175"
".vip","34","124","214","439","45","135","225","405","45","1463"
".online","13","257","501","1111","122","366","610","1098","122","1142"
".site","12","256","500","1110","122","366","610","1098","122","1142"
".tech","14","470","926","2066","228","684","1140","2052","228","1150"
".fun","13","409","805","1795","198","594","990","1782","198","1234"
".shop","14","504","994","2219","245","735","1225","2205","245","3518"
".wang","38","134","230","470","48","144","240","432","48","1132"
".art","28","384","740","1630","178","534","890","1602","178","1197"
".biz","126","422","718","1458","148","444","740","1332","148","1198"
".city","53","313","573","1223","130","390","650","1170","130","1230"
".cc","65","221","377","767","78","234","390","702","78","1056"
".cool","53","445","837","1817","196","588","980","1764","196","1500"
".email","53","311","569","1214","129","387","645","1161","129","1230"
".center","53","225","397","827","86","258","430","774","86","1225"
".club","20","276","532","1172","128","384","640","1152","128","1216"
".ltd","32","248","464","1004","108","324","540","972","108","1208"
".store","14","270","526","1166","128","384","640","1152","128","2250"
".group","53","225","397","827","86","258","430","774","86","1230"
".company","53","193","333","683","70","210","350","630","70","1230"
".tv","212","636","1060","2120","212","636","1060","1908","212","1056"
".icu","15","231","447","987","108","324","540","972","108","1166"
".market","53","243","433","908","95","285","475","855","95","1056"
".space","11","243","475","1055","116","348","580","1044","116","1234"
".ink","15","391","767","1707","188","564","940","1692","188","1395"
".life","53","223","393","818","85","255","425","765","85","1296"
".plus","53","445","837","1817","196","588","980","1764","196","1291"
".zone","53","225","397","827","86","258","430","774","86","1186"
".team","53","445","837","1817","196","588","980","1764","196","1291"
".host","35","531","1027","2267","248","744","1240","2232","248","1674"
".world","53","445","837","1817","196","588","980","1764","196","1296"
".ren","39","123","207","417","42","126","210","378","42","1142"
".video","53","445","837","1817","196","588","980","1764","196","1118"
".pub","53","445","837","1817","196","588","980","1764","196","1118"
".live","53","313","573","1223","130","390","650","1170","130","1030"
".run","53","311","569","1214","129","387","645","1161","129","1225"
".show","53","225","397","827","86","258","430","774","86","1291"
".work","46","142","238","478","48","144","240","432","48","1155"
".link","75","225","375","750","75","225","375","675","75","1070"
".fund","53","687","1321","2906","317","951","1585","2853","317","1087"
".chat","53","225","397","827","86","258","430","774","86","1291"
