计费版本,计费类型,计费项,总价,单位,地域
"基础版","MTU","基础版-月用户量_10万","60000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_20万","120000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_30万","180000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_40万","200000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_50万","288000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_60万","324000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_70万","336000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_80万","345600","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_90万","384480","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_100万","420000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_110万","435600","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_120万","460800","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_130万","483600","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_140万","504000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_150万","522000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_160万","566400","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_170万","591600","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_180万","615600","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_190万","638400","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_200万","672000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_250万","720000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_300万","792000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_350万","903000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_400万","1008000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_450万","1026000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_500万","1080000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_600万","1152000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_700万","1260000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_800万","1440000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_900万","1620000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_1000万","1800000","个/用户量","国内通用"
"基础版","MTU","基础版-月用户量_2500万","4500000","个/用户量","国内通用"
"基础版","事件量","基础版-事件量-5亿（累计）","60000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-10亿（累计）","120000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-20亿（累计）","180000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-30亿（累计）","200000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-40亿（累计）","288000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-45亿（累计）","324000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-50亿（累计）","336000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-60亿（累计）","345600","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-70亿（累计）","384480","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-80亿（累计）","420000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-85亿（累计）","435600","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-90亿（累计）","460800","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-100亿（累计）","483600","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-110亿（累计）","504000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-115亿（累计）","522000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-125亿（累计）","566400","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-135亿（累计）","591600","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-140亿（累计）","615600","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-145亿（累计）","638400","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-155亿（累计）","672000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-200亿（累计）","720000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-230亿（累计）","792000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-250亿（累计）","903000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-300亿（累计）","1008000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-350亿（累计）","1026000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-400亿（累计）","1080000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-450亿（累计）","1152000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-550亿（累计）","1260000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-600亿（累计）","1440000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-700亿（累计）","1620000","条/事件量","国内通用"
"基础版","事件量","基础版-事件量-800亿（累计）","1800000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-5亿（累计）","55000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-10亿（累计）","115000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-20亿（累计）","175000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-30亿（累计）","195000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-40亿（累计）","284000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-45亿（累计）","310000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-50亿（累计）","320000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-60亿（累计）","330000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-70亿（累计）","370000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-80亿（累计）","400000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-85亿（累计）","415000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-90亿（累计）","435000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-100亿（累计）","460000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-110亿（累计）","480000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-115亿（累计）","500000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-125亿（累计）","540000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-135亿（累计）","580000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-140亿（累计）","600000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-145亿（累计）","620000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-155亿（累计）","640000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-200亿（累计）","690000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-230亿（累计）","760000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-250亿（累计）","870000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-300亿（累计）","970000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-350亿（累计）","990000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-400亿（累计）","1050000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-450亿（累计）","1120000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-550亿（累计）","1200000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-600亿（累计）","1350000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-700亿（累计）","1470000","条/事件量","国内通用"
"云托管","事件量","云托管-事件量-800亿（累计）","1600000","条/事件量","国内通用"
,
,
,
计费版本,事件类型,计费项,总价,单位,地域
"通用","事件量","事件量_百万条（通用）","120","元/百万条事件量","国内通用"
"通用","MTU","月用户量_单条（通用）","0.05","元/单个用户量","国内通用"
