实例规格,包1年,包2年,包3年
"GMP基础版 MAU范围（0-10万）","133200","266400","399600"
"GMP基础版 MAU范围（10-20万）","140000","280000","420000"
"GMP基础版 MAU范围（20-30万）","180000","360000","540000"
"GMP基础版 MAU范围（30-40万）","200000","400000","600000"
"GMP基础版 MAU范围（40-50万）","220000","440000","660000"
"GMP基础版 MAU范围（50-60万）","240000","480000","720000"
"GMP基础版 MAU范围（60-70万）","245000","490000","735000"
"GMP基础版 MAU范围（70-80万）","280000","560000","840000"
"GMP基础版 MAU范围（80-90万）","315000","630000","945000"
"GMP基础版 MAU范围（90-100万）","320000","640000","960000"
"GMP基础版 MAU范围（100-110万）","330000","660000","990000"
"GMP基础版 MAU范围（110-120万）","348000","696000","1044000"
"GMP基础版 MAU范围（120-130万）","364000","728000","1092000"
"GMP基础版 MAU范围（130-140万）","378000","756000","1134000"
"GMP基础版 MAU范围（140-150万）","390000","780000","1170000"
"GMP基础版 MAU范围（150-160万）","400000","800000","1200000"
"GMP基础版 MAU范围（160-170万）","425000","850000","1275000"
"GMP基础版 MAU范围（170-180万）","450000","900000","1350000"
"GMP基础版 MAU范围（180-190万）","475000","950000","1425000"
"GMP基础版 MAU范围（190-200万）","500000","1000000","1500000"
"GMP基础版 MAU范围（200-250万）","550000","1100000","1650000"
"GMP基础版 MAU范围（250-300万）","600000","1200000","1800000"
"GMP基础版 MAU范围（300-350万）","630000","1260000","1890000"
"GMP基础版 MAU范围（350-400万）","720000","1440000","2160000"
"GMP基础版 MAU范围（400-450万）","810000","1620000","2430000"
"GMP基础版 MAU范围（450-500万）","900000","1800000","2700000"
"GMP基础版 MAU范围（500-600万）","1020000","2040000","3060000"
"GMP基础版 MAU范围（600-700万）","1120000","2240000","3360000"
"GMP基础版 MAU范围（700-800万）","1200000","2400000","3600000"
"GMP基础版 MAU范围（800-900万）","1260000","2520000","3780000"
"GMP基础版 MAU范围（900-1000万）","1300000","2600000","3900000"
"GMP基础版 MAU范围（1000-1500万）","1950000","3900000","5850000"
