类型,计费项,步长规格,单盘最大IOPS/最大吞吐量,容量范围,按量计费 (小时),包月,包1年,包2年,包3年,地域
"极速型SSD PL0","容量 ","1GiB","1万/180MBps","20-32768（GiB）","0.00092","0.57","6.84","13.68","20.52","中国香港"
"极速型SSD PL0","容量 ","1GiB","1万/180MBps","20-32768（GiB）","0.00165","0.75","9","18","27","亚太东南（柔佛）"
"极速型SSD PL0","容量 ","1GiB","1万/180MBps","20-32768（GiB）","0.00105","0.5","6","12","18","华东2（上海）"
"极速型SSD PL0","容量 ","1GiB","1万/180MBps","20-32768（GiB）","0.00105","0.5","6","12","18","华南1（广州）"
"极速型SSD PL0","容量 ","1GiB","1万/180MBps","20-32768（GiB）","0.00105","0.5","6","12","18","华北2（北京）"
"极速型SSD FlexPL","容量","1GiB","总性能：10万/1000MBps（基准性能：5万/350MBps        额外性能：5万/650MBps）","20-32768（GiB）","0.001839","1.13","13.56","27.12","40.68","中国香港"
"极速型SSD FlexPL","容量","1GiB","总性能：10万/1000MBps（基准性能：5万/350MBps        额外性能：5万/650MBps）","20-32768（GiB）","0.0033","1.5","18","36","54","亚太东南（柔佛）"
"极速型SSD FlexPL","容量","1GiB","总性能：10万/1000MBps（基准性能：5万/350MBps        额外性能：5万/650MBps）","20-32768（GiB）","0.0021","1","12","24","36","华南1（广州）"
"极速型SSD FlexPL","容量","1GiB","总性能：10万/1000MBps（基准性能：5万/350MBps        额外性能：5万/650MBps）","20-32768（GiB）","0.0021","1","12","24","36","华北2（北京）"
"极速型SSD FlexPL","容量","1GiB","总性能：10万/1000MBps（基准性能：5万/350MBps        额外性能：5万/650MBps）","20-32768（GiB）","0.0021","1","12","24","36","华东2（上海）"
"极速型SSD FlexPL","【均衡型】预配置额外性能-IOPS","1","-","0-50000","0.0000325","0.0234","0.2808","0.5616","0.8424","中国香港"
"极速型SSD FlexPL","【均衡型】预配置额外性能-IOPS","1","-","0-50000","0.0000488","0.0351","0.4212","0.8424","1.2636","亚太东南（柔佛）"
"极速型SSD FlexPL","【均衡型】预配置额外性能-IOPS","1","-","0-50000","0.0000325","0.0234","0.2808","0.5616","0.8424","华北2（北京）"
"极速型SSD FlexPL","【均衡型】预配置额外性能-IOPS","1","-","0-50000","0.0000325","0.0234","0.2808","0.5616","0.8424","华南1（广州）"
"极速型SSD FlexPL","【均衡型】预配置额外性能-IOPS","1","-","0-50000","0.0000325","0.0234","0.2808","0.5616","0.8424","华东2（上海）"
"极速型SSD FlexPL","【IOPS型】预配置额外性能-IOPS","1","-","0-50000","0.0000278","0.02","0.24","0.48","0.72","中国香港"
"极速型SSD FlexPL","【IOPS型】预配置额外性能-IOPS","1","-","0-50000","0.0000417","0.03","0.36","0.72","1.08","亚太东南（柔佛）"
"极速型SSD FlexPL","【IOPS型】预配置额外性能-IOPS","1","-","0-50000","0.0000278","0.02","0.24","0.48","0.72","华东2（上海）"
"极速型SSD FlexPL","【IOPS型】预配置额外性能-IOPS","1","-","0-50000","0.0000278","0.02","0.24","0.48","0.72","华南1（广州）"
"极速型SSD FlexPL","【IOPS型】预配置额外性能-IOPS","1","-","0-50000","0.0000278","0.02","0.24","0.48","0.72","华北2（北京）"
"极速型SSD FlexPL","【吞吐量型】预配置额外性能-吞吐量","1MBps","-","0-650 MBps","0.00348","2.5","30","60","90","中国香港"
"极速型SSD FlexPL","【吞吐量型】预配置额外性能-吞吐量","1MBps","-","0-650 MBps","0.00522","3.75","45","90","135","亚太东南（柔佛）"
"极速型SSD FlexPL","【吞吐量型】预配置额外性能-吞吐量","1MBps","-","0-650 MBps","0.00348","2.5","30","60","90","华北2（北京）"
"极速型SSD FlexPL","【吞吐量型】预配置额外性能-吞吐量","1MBps","-","0-650 MBps","0.00348","2.5","30","60","90","华南1（广州）"
