规格,存储容量价格,数据流动带宽价格,协议服务带宽价格
"100MB/s/TiB","1.31 元/GiB/月（0.00182 元/GiB/时）","0.48 元/100MBps/小时","8.64 元/GBps/小时"
"性能版","2.63 元/GiB/月（0.00365 元/GiB/时）","0.48 元/100MBps/小时","8.64 元/GBps/小时"
"智算版","2.10 元/GiB/月（0.00292 元/GiB/时）","0.48 元/100MBps/小时","8.64 元/GBps/小时"
,
,
,
规格,存储容量价格,数据流动带宽价格,协议服务带宽价格
"100MB/s/TiB","0.82 元/GiB/月（0.00114 元/GiB/时）","0.3 元/100MBps/小时","5.4 元/GBps/小时"
"性能版","2 元/GiB/月（0.00278 元/GiB/时）","0.3 元/100MBps/小时","5.4 元/GBps/小时"
"智算版","1.64 元/GiB/月（0.00228 元/GiB/时）","0.3 元/100MBps/小时","5.4 元/GBps/小时"
