计费项,是否计费,地域
"计算节点","是，会根据节点规格和使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
计费项,是否计费,地域
"数据分片节点","是，会根据数据分片（即Shard）数、每个分片中的节点（即Shard节点）数、节点规格，以及使用时长计费。",-
"分片代理节点","是，会根据分片代理节点（即Mongos节点）数、节点规格以及使用时长计费。",-
"元数据处理节点","是，会根据元数据处理节点（即 ConfigServer 节点）数、节点规格以及使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。说明：仅数据分片组件（即 Shard）和元数据处理节点（即 ConfigServer 节点）会产生存储空间费用。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
规格码,CPU和内存,默认最大连接数,按量计费 (小时),包月,包1年,包2年,包3年,地域
"mongo.2c4g","2 核4 GiB","2000","0.360416292","173","2076","4152","6227.99","亚太东南（雅加达）"
"mongo.2c4g","2 核4 GiB","2000","0.44275","212.5","2550","5100","7650","中国香港"
"mongo.2c4g","2 核4 GiB","2000","0.44275","212.5","2550","5100","7650","亚太东南（柔佛）"
"mongo.2c4g","2 核4 GiB","2000","0.3542","170","2040","4080","6120","华南1（广州）"
"mongo.2c4g","2 核4 GiB","2000","0.3542","170","2040","4080","6120","华北2（北京）"
"mongo.2c4g","2 核4 GiB","2000","0.3542","170","2040","4080","6120","华东2（上海）"
"mongo.4c8g","4 核8 GiB","4000","0.885375","425","5100","10200","15300","亚太东南（雅加达）"
"mongo.4c8g","4 核8 GiB","4000","0.885375","425","5100","10200","15300","中国香港"
"mongo.4c8g","4 核8 GiB","4000","0.885375","425","5100","10200","15300","亚太东南（柔佛）"
"mongo.4c8g","4 核8 GiB","4000","0.7083","340","4080","8160","12240","华东2（上海）"
"mongo.4c8g","4 核8 GiB","4000","0.7083","340","4080","8160","12240","华北2（北京）"
"mongo.4c8g","4 核8 GiB","4000","0.7083","340","4080","8160","12240","华南1（广州）"
