计费类型,计费项,按量计费,单位,地域
"存储费用","日志存储空间","0.0207","元/GiB/天","亚太东南（柔佛）"
"存储费用","日志存储空间","0.0115","元/GiB/天","华南1（广州）"
"存储费用","日志存储空间","0.0115","元/GiB/天","华东2（上海）"
"存储费用","日志存储空间","0.0115","元/GiB/天","华北2（北京）"
"存储费用","日志存储空间","0.0207","元/GiB/天","中国香港"
"存储费用","日志存储空间","0.0207","元/GiB/天","亚太东南（雅加达）"
"存储费用","索引存储空间","0.0207","元/GiB/天","中国香港"
"存储费用","索引存储空间","0.0207","元/GiB/天","亚太东南（雅加达）"
"存储费用","索引存储空间","0.0207","元/GiB/天","亚太东南（柔佛）"
"存储费用","索引存储空间","0.0115","元/GiB/天","华东2（上海）"
"存储费用","索引存储空间","0.0115","元/GiB/天","华南1（广州）"
"存储费用","索引存储空间","0.0115","元/GiB/天","华北2（北京）"
"存储费用","低频-日志存储空间","0.009","元/GiB/天","亚太东南（柔佛）"
"存储费用","低频-日志存储空间","0.005","元/GiB/天","华北2（北京）"
"存储费用","低频-日志存储空间","0.005","元/GiB/天","华南1（广州）"
"存储费用","低频-日志存储空间","0.005","元/GiB/天","华东2（上海）"
"存储费用","低频-日志存储空间","0.009","元/GiB/天","中国香港"
"存储费用","低频-日志存储空间","0.009","元/GiB/天","亚太东南（雅加达）"
"存储费用","低频-索引存储空间","0.005","元/GiB/天","华东2（上海）"
"存储费用","低频-索引存储空间","0.005","元/GiB/天","华南1（广州）"
"存储费用","低频-索引存储空间","0.005","元/GiB/天","华北2（北京）"
"存储费用","低频-索引存储空间","0.009","元/GiB/天","亚太东南（柔佛）"
"存储费用","低频-索引存储空间","0.009","元/GiB/天","中国香港"
"存储费用","低频-索引存储空间","0.009","元/GiB/天","亚太东南（雅加达）"
"存储费用","归档-日志存储空间","0.0025","元/GiB/天","华东2（上海）"
"存储费用","归档-日志存储空间","0.0045","元/GiB/天","中国香港"
"存储费用","归档-日志存储空间","0.0025","元/GiB/天","华南1（广州）"
"存储费用","归档-日志存储空间","0.0025","元/GiB/天","华北2（北京）"
"存储费用","归档-日志存储空间","0.0045","元/GiB/天","亚太东南（雅加达）"
"存储费用","归档-日志存储空间","0.0045","元/GiB/天","亚太东南（柔佛）"
"存储费用","归档-索引存储空间","0.0025","元/GiB/天","华东2（上海）"
"存储费用","归档-索引存储空间","0.0045","元/GiB/天","中国香港"
"存储费用","归档-索引存储空间","0.0025","元/GiB/天","华南1（广州）"
"存储费用","归档-索引存储空间","0.0025","元/GiB/天","华北2（北京）"
"存储费用","归档-索引存储空间","0.0045","元/GiB/天","亚太东南（雅加达）"
"存储费用","归档-索引存储空间","0.0045","元/GiB/天","亚太东南（柔佛）"
"流量费用","内网读流量","0.324","元/GiB","亚太东南（柔佛）"
"流量费用","内网读流量","0.18","元/GiB","华东2（上海）"
"流量费用","内网读流量","0.18","元/GiB","华南1（广州）"
"流量费用","内网读流量","0.18","元/GiB","华北2（北京）"
"流量费用","内网读流量","0.324","元/GiB","中国香港"
"流量费用","内网读流量","0.324","元/GiB","亚太东南（雅加达）"
"流量费用","外网读流量","1.44","元/GiB","中国香港"
"流量费用","外网读流量","1.44","元/GiB","亚太东南（雅加达）"
"流量费用","外网读流量","1.44","元/GiB","亚太东南（柔佛）"
"流量费用","外网读流量","0.8","元/GiB","华南1（广州）"
"流量费用","外网读流量","0.8","元/GiB","华东2（上海）"
"流量费用","外网读流量","0.8","元/GiB","华北2（北京）"
"流量费用","写流量","0.324","元/GiB","亚太东南（柔佛）"
"流量费用","写流量","0.18","元/GiB","华南1（广州）"
"流量费用","写流量","0.18","元/GiB","华东2（上海）"
"流量费用","写流量","0.18","元/GiB","华北2（北京）"
"流量费用","写流量","0.324","元/GiB","中国香港"
"流量费用","写流量","0.324","元/GiB","亚太东南（雅加达）"
"流量费用","原始写流量","0.85","元/GiB","华东2（上海）"
"流量费用","原始写流量","0.85","元/GiB","中国香港"
"流量费用","原始写流量","0.85","元/GiB","华南1（广州）"
"流量费用","原始写流量","0.85","元/GiB","华北2（北京）"
"流量费用","原始写流量","0.85","元/GiB","亚太东南（雅加达）"
"流量费用","原始写流量","0.85","元/GiB","亚太东南（柔佛）"
"流量费用","索引流量","0.63","元/GiB","亚太东南（柔佛）"
"流量费用","索引流量","0.35","元/GiB","华东2（上海）"
"流量费用","索引流量","0.35","元/GiB","华北2（北京）"
"流量费用","索引流量","0.35","元/GiB","华南1（广州）"
"流量费用","索引流量","0.63","元/GiB","中国香港"
"流量费用","索引流量","0.63","元/GiB","亚太东南（雅加达）"
"流量费用","日志投递流量基础版","0.09","元/GiB","亚太东南（柔佛）"
"流量费用","日志投递流量基础版","0.05","元/GiB","华东2（上海）"
"流量费用","日志投递流量基础版","0.05","元/GiB","华南1（广州）"
"流量费用","日志投递流量基础版","0.05","元/GiB","华北2（北京）"
"流量费用","日志投递流量基础版","0.09","元/GiB","中国香港"
"流量费用","日志投递流量基础版","0.09","元/GiB","亚太东南（雅加达）"
"流量费用","数据加工流量","0.15","元/GiB","华东2（上海）"
"流量费用","数据加工流量","0.15","元/GiB","华南1（广州）"
"流量费用","数据加工流量","0.15","元/GiB","华北2（北京）"
"流量费用","数据加工流量","0.27","元/GiB","亚太东南（柔佛）"
"流量费用","数据加工流量","0.27","元/GiB","中国香港"
"流量费用","数据加工流量","0.27","元/GiB","亚太东南（雅加达）"
"其他费用","日志分区数量","0.072","元/个/天","亚太东南（柔佛）"
"其他费用","日志分区数量","0.04","元/个/天","华东2（上海）"
"其他费用","日志分区数量","0.04","元/个/天","华南1（广州）"
"其他费用","日志分区数量","0.04","元/个/天","华北2（北京）"
"其他费用","日志分区数量","0.072","元/个/天","中国香港"
"其他费用","日志分区数量","0.072","元/个/天","亚太东南（雅加达）"
"其他费用","API调用次数","0.216","元/百万次","中国香港"
"其他费用","API调用次数","0.216","元/百万次","亚太东南（雅加达）"
"其他费用","API调用次数","0.216","元/百万次","亚太东南（柔佛）"
"其他费用","API调用次数","0.12","元/百万次","华北2（北京）"
"其他费用","API调用次数","0.12","元/百万次","华东2（上海）"
"其他费用","API调用次数","0.12","元/百万次","华南1（广州）"
