实例规格,vCPU,内存,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ml.g1ie.large","2","8","0.48","233.93","2807.14","5614.27","8421.41","华东2（上海）"
"ml.g1ie.large","2","8","0.48","233.93","2807.14","5614.27","8421.41","华南1（广州）"
"ml.g1ie.large","2","8","0.48","233.93","2807.14","5614.27","8421.41","华北2（北京）"
"ml.g1ie.xlarge","4","16","0.96","467.86","5614.27","11228.54","16842.82","华东2（上海）"
"ml.g1ie.xlarge","4","16","0.96","467.86","5614.27","11228.54","16842.82","华南1（广州）"
"ml.g1ie.xlarge","4","16","0.96","467.86","5614.27","11228.54","16842.82","华北2（北京）"
"ml.g1ie.2xlarge","8","32","1.92","935.71","11228.54","22457.09","33685.63","华东2（上海）"
"ml.g1ie.2xlarge","8","32","1.92","935.71","11228.54","22457.09","33685.63","华南1（广州）"
"ml.g1ie.2xlarge","8","32","1.92","935.71","11228.54","22457.09","33685.63","华北2（北京）"
"ml.g1ie.4xlarge","16","64","3.83","1871.42","22457.09","44914.18","67371.26","华东2（上海）"
"ml.g1ie.4xlarge","16","64","3.83","1871.42","22457.09","44914.18","67371.26","华南1（广州）"
"ml.g1ie.4xlarge","16","64","3.83","1871.42","22457.09","44914.18","67371.26","华北2（北京）"
"ml.g1ie.8xlarge","32","128","7.67","3742.85","44914.18","89828.35","134742.53","华东2（上海）"
"ml.g1ie.8xlarge","32","128","7.67","3742.85","44914.18","89828.35","134742.53","华南1（广州）"
"ml.g1ie.8xlarge","32","128","7.67","3742.85","44914.18","89828.35","134742.53","华北2（北京）"
"ml.g1ie.14xlarge","58","224","12.35","6025.98","72311.82","144623.64","216935.46","华东2（上海）"
"ml.g1ie.14xlarge","58","224","12.35","6025.98","72311.82","144623.64","216935.46","华南1（广州）"
"ml.g1ie.14xlarge","58","224","12.35","6025.98","72311.82","144623.64","216935.46","华北2（北京）"
"ml.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华东2（上海）"
"ml.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华南1（广州）"
"ml.g1ie.16xlarge","64","256","15.34","7485.7","89828.35","179656.7","269485.06","华北2（北京）"
"ml.g1ie.21xlarge","84","342","20.13","9824.98","117899.71","235799.42","353699.14","华东2（上海）"
"ml.g1ie.21xlarge","84","342","20.13","9824.98","117899.71","235799.42","353699.14","华南1（广州）"
"ml.g1ie.21xlarge","84","342","20.13","9824.98","117899.71","235799.42","353699.14","华北2（北京）"
"ml.g1ie.29xlarge","116","460","27.8","13567.82","162813.89","325627.78","488441.66","华东2（上海）"
"ml.g1ie.29xlarge","116","460","27.8","13567.82","162813.89","325627.78","488441.66","华南1（广州）"
"ml.g1ie.29xlarge","116","460","27.8","13567.82","162813.89","325627.78","488441.66","华北2（北京）"
"ml.g2a.large","2","8","0.4068","198.53","2382.34","4764.67","7147.01","华东2（上海）"
"ml.g2a.large","2","8","0.4068","198.53","2382.34","4764.67","7147.01","华南1（广州）"
"ml.g2a.large","2","8","0.4068","198.53","2382.34","4764.67","7147.01","华北2（北京）"
"ml.g2a.xlarge","4","16","0.8136","397.06","4764.67","9529.34","14294.02","华东2（上海）"
"ml.g2a.xlarge","4","16","0.8136","397.06","4764.67","9529.34","14294.02","华南1（广州）"
"ml.g2a.xlarge","4","16","0.8136","397.06","4764.67","9529.34","14294.02","华北2（北京）"
"ml.g2a.2xlarge","8","32","1.6273","794.11","9529.34","19058.69","28588.03","华东2（上海）"
"ml.g2a.2xlarge","8","32","1.6273","794.11","9529.34","19058.69","28588.03","华南1（广州）"
"ml.g2a.2xlarge","8","32","1.6273","794.11","9529.34","19058.69","28588.03","华北2（北京）"
"ml.g2a.4xlarge","16","64","3.2546","1588.22","19058.69","38117.38","57176.06","华东2（上海）"
"ml.g2a.4xlarge","16","64","3.2546","1588.22","19058.69","38117.38","57176.06","华南1（广州）"
"ml.g2a.4xlarge","16","64","3.2546","1588.22","19058.69","38117.38","57176.06","华北2（北京）"
"ml.g2a.8xlarge","32","128","6.5091","3176.45","38117.38","76234.75","114352.13","华东2（上海）"
"ml.g2a.8xlarge","32","128","6.5091","3176.45","38117.38","76234.75","114352.13","华南1（广州）"
"ml.g2a.8xlarge","32","128","6.5091","3176.45","38117.38","76234.75","114352.13","华北2（北京）"
"ml.g2a.16xlarge","64","256","13.0182","6352.9","76234.75","152469.5","228704.26","华东2（上海）"
"ml.g2a.16xlarge","64","256","13.0182","6352.9","76234.75","152469.5","228704.26","华南1（广州）"
"ml.g2a.16xlarge","64","256","13.0182","6352.9","76234.75","152469.5","228704.26","华北2（北京）"
"ml.g2a.28xlarge","112","448","22.7819","11117.57","133410.82","266821.63","400232.45","华东2（上海）"
"ml.g2a.28xlarge","112","448","22.7819","11117.57","133410.82","266821.63","400232.45","华南1（广州）"
"ml.g2a.28xlarge","112","448","22.7819","11117.57","133410.82","266821.63","400232.45","华北2（北京）"
"ml.g2i.large","2 ","8","0.5041","246","2952","5904","8856","华北2（北京）"
"ml.g2i.xlarge","4 ","16","1.0082","492","5904","11808","17712","华北2（北京）"
"ml.g2i.2xlarge","8 ","32","2.0164","984","11808","23616","35424","华北2（北京）"
"ml.g2i.4xlarge","16 ","64","4.0328","1968","23616","47232","70848","华北2（北京）"
"ml.g2i.8xlarge","32 ","128","8.0656","3936","47232","94464","141696","华北2（北京）"
"ml.g2i.12xlarge","48 ","192","12.0984","5904","70848","141696","212544","华北2（北京）"
"ml.g2i.14xlarge","56 ","224","12.9856","6336.96","76043.52","152087.04","228130.56","华北2（北京）"
"ml.g2i.28xlarge","112 ","448","28.2295","13776","165312","330624","495936","华北2（北京）"
"ml.c1ie.large","2 ","4","0.3739","182.46","2189.57","4379.13","6568.7","华东2（上海）"
"ml.c1ie.large","2 ","4","0.3739","182.46","2189.57","4379.13","6568.7","华南1（广州）"
"ml.c1ie.large","2 ","4","0.3739","182.46","2189.57","4379.13","6568.7","华北2（北京）"
"ml.c1ie.xlarge","4 ","8","0.7478","364.93","4379.13","8758.26","13137.4","华东2（上海）"
"ml.c1ie.xlarge","4 ","8","0.7478","364.93","4379.13","8758.26","13137.4","华南1（广州）"
"ml.c1ie.xlarge","4 ","8","0.7478","364.93","4379.13","8758.26","13137.4","华北2（北京）"
"ml.c1ie.2xlarge","8 ","16","1.4956","729.86","8758.26","17516.53","26274.79","华东2（上海）"
"ml.c1ie.2xlarge","8 ","16","1.4956","729.86","8758.26","17516.53","26274.79","华南1（广州）"
"ml.c1ie.2xlarge","8 ","16","1.4956","729.86","8758.26","17516.53","26274.79","华北2（北京）"
"ml.c1ie.4xlarge","16 ","32","2.9912","1459.71","17516.53","35033.06","52549.59","华东2（上海）"
"ml.c1ie.4xlarge","16 ","32","2.9912","1459.71","17516.53","35033.06","52549.59","华南1（广州）"
"ml.c1ie.4xlarge","16 ","32","2.9912","1459.71","17516.53","35033.06","52549.59","华北2（北京）"
"ml.c1ie.8xlarge","32 ","64","5.9824","2919.42","35033.06","70066.11","105099.17","华东2（上海）"
"ml.c1ie.8xlarge","32 ","64","5.9824","2919.42","35033.06","70066.11","105099.17","华南1（广州）"
"ml.c1ie.8xlarge","32 ","64","5.9824","2919.42","35033.06","70066.11","105099.17","华北2（北京）"
"ml.c1ie.14xlarge","58 ","116","10.4692","5108.99","61307.85","122615.7","183923.55","华东2（上海）"
"ml.c1ie.14xlarge","58 ","116","10.4692","5108.99","61307.85","122615.7","183923.55","华南1（广州）"
"ml.c1ie.14xlarge","58 ","116","10.4692","5108.99","61307.85","122615.7","183923.55","华北2（北京）"
"ml.c1ie.16xlarge","64 ","128","11.9648","5838.84","70066.11","140132.23","210198.34","华东2（上海）"
"ml.c1ie.16xlarge","64 ","128","11.9648","5838.84","70066.11","140132.23","210198.34","华南1（广州）"
"ml.c1ie.16xlarge","64 ","128","11.9648","5838.84","70066.11","140132.23","210198.34","华北2（北京）"
"ml.c1ie.21xlarge","84 ","168","15.7039","7663.48","91961.78","183923.55","275885.33","华东2（上海）"
"ml.c1ie.21xlarge","84 ","168","15.7039","7663.48","91961.78","183923.55","275885.33","华南1（广州）"
"ml.c1ie.21xlarge","84 ","168","15.7039","7663.48","91961.78","183923.55","275885.33","华北2（北京）"
"ml.c1ie.29xlarge","116 ","232","21.6863","10582.9","126994.83","253989.66","380984.5","华东2（上海）"
"ml.c1ie.29xlarge","116 ","232","21.6863","10582.9","126994.83","253989.66","380984.5","华南1（广州）"
"ml.c1ie.29xlarge","116 ","232","21.6863","10582.9","126994.83","253989.66","380984.5","华北2（北京）"
"ml.c2i.large","2 ","4","0.3893","190","2280","4560","6840","华东2（上海）"
"ml.c2i.large","2 ","4","0.3893","190","2280","4560","6840","华南1（广州）"
"ml.c2i.large","2 ","4","0.3893","190","2280","4560","6840","华北2（北京）"
"ml.c2i.xlarge","4 ","8","0.7787","380","4560","9120","13680","华东2（上海）"
"ml.c2i.xlarge","4 ","8","0.7787","380","4560","9120","13680","华南1（广州）"
"ml.c2i.xlarge","4 ","8","0.7787","380","4560","9120","13680","华北2（北京）"
"ml.c2i.2xlarge","8 ","16","1.5574","760","9120","18240","27360","华东2（上海）"
"ml.c2i.2xlarge","8 ","16","1.5574","760","9120","18240","27360","华南1（广州）"
"ml.c2i.2xlarge","8 ","16","1.5574","760","9120","18240","27360","华北2（北京）"
"ml.c2i.4xlarge","16 ","32","3.1148","1520","18240","36480","54720","华东2（上海）"
"ml.c2i.4xlarge","16 ","32","3.1148","1520","18240","36480","54720","华南1（广州）"
"ml.c2i.4xlarge","16 ","32","3.1148","1520","18240","36480","54720","华北2（北京）"
"ml.c2i.8xlarge","32 ","64","6.2295","3040","36480","72960","109440","华东2（上海）"
"ml.c2i.8xlarge","32 ","64","6.2295","3040","36480","72960","109440","华南1（广州）"
"ml.c2i.8xlarge","32 ","64","6.2295","3040","36480","72960","109440","华北2（北京）"
"ml.c2i.12xlarge","48 ","96","9.3443","4560","54720","109440","164160","华东2（上海）"
"ml.c2i.12xlarge","48 ","96","9.3443","4560","54720","109440","164160","华南1（广州）"
"ml.c2i.12xlarge","48 ","96","9.3443","4560","54720","109440","164160","华北2（北京）"
"ml.c2i.14xlarge","56 ","112","14.1721","6916","82992","165984","248976","华东2（上海）"
"ml.c2i.14xlarge","56 ","112","14.1721","6916","82992","165984","248976","华南1（广州）"
"ml.c2i.14xlarge","56 ","112","14.1721","6916","82992","165984","248976","华北2（北京）"
"ml.c2i.16xlarge","64 ","128","16.1967","7904","94848","189696","284544","华东2（上海）"
"ml.c2i.16xlarge","64 ","128","16.1967","7904","94848","189696","284544","华南1（广州）"
"ml.c2i.16xlarge","64 ","128","16.1967","7904","94848","189696","284544","华北2（北京）"
"ml.c2i.28xlarge","112 ","224","28.3443","13832","165984","331968","497952","华东2（上海）"
"ml.c2i.28xlarge","112 ","224","28.3443","13832","165984","331968","497952","华南1（广州）"
"ml.c2i.28xlarge","112 ","224","28.3443","13832","165984","331968","497952","华北2（北京）"
"ml.r1ie.large","2 ","16","0.6328","308.78","3705.42","7410.84","11116.26","华东2（上海）"
"ml.r1ie.large","2 ","16","0.6328","308.78","3705.42","7410.84","11116.26","华南1（广州）"
"ml.r1ie.large","2 ","16","0.6328","308.78","3705.42","7410.84","11116.26","华北2（北京）"
"ml.r1ie.xlarge","4 ","32","1.2655","617.57","7410.84","14821.68","22232.52","华东2（上海）"
"ml.r1ie.xlarge","4 ","32","1.2655","617.57","7410.84","14821.68","22232.52","华南1（广州）"
"ml.r1ie.xlarge","4 ","32","1.2655","617.57","7410.84","14821.68","22232.52","华北2（北京）"
"ml.r1ie.2xlarge","8 ","64","2.531","1235.14","14821.68","29643.36","44465.03","华东2（上海）"
"ml.r1ie.2xlarge","8 ","64","2.531","1235.14","14821.68","29643.36","44465.03","华南1（广州）"
"ml.r1ie.2xlarge","8 ","64","2.531","1235.14","14821.68","29643.36","44465.03","华北2（北京）"
"ml.r1ie.4xlarge","16 ","128","5.062","2470.28","29643.36","59286.71","88930.07","华东2（上海）"
"ml.r1ie.4xlarge","16 ","128","5.062","2470.28","29643.36","59286.71","88930.07","华南1（广州）"
"ml.r1ie.4xlarge","16 ","128","5.062","2470.28","29643.36","59286.71","88930.07","华北2（北京）"
"ml.r1ie.8xlarge","32 ","256","10.1241","4940.56","59286.71","118573.43","177860.14","华东2（上海）"
"ml.r1ie.8xlarge","32 ","256","10.1241","4940.56","59286.71","118573.43","177860.14","华南1（广州）"
"ml.r1ie.8xlarge","32 ","256","10.1241","4940.56","59286.71","118573.43","177860.14","华北2（北京）"
"ml.r1ie.16xlarge","64 ","512","20.2482","9881.12","118573.42","237146.85","355720.27","华东2（上海）"
"ml.r1ie.16xlarge","64 ","512","20.2482","9881.12","118573.42","237146.85","355720.27","华南1（广州）"
"ml.r1ie.16xlarge","64 ","512","20.2482","9881.12","118573.42","237146.85","355720.27","华北2（北京）"
"ml.r1ie.21xlarge","84 ","972","26.5758","12968.97","155627.62","311255.24","466882.86","华东2（上海）"
"ml.r1ie.21xlarge","84 ","972","26.5758","12968.97","155627.62","311255.24","466882.86","华南1（广州）"
"ml.r1ie.21xlarge","84 ","972","26.5758","12968.97","155627.62","311255.24","466882.86","华北2（北京）"
"ml.r2a.large","2 ","16","0.5513","269.03","3228.34","6456.67","9685.01","华东2（上海）"
"ml.r2a.large","2 ","16","0.5513","269.03","3228.34","6456.67","9685.01","华南1（广州）"
"ml.r2a.large","2 ","16","0.5513","269.03","3228.34","6456.67","9685.01","华北2（北京）"
"ml.r2a.xlarge","4 ","32","1.1026","538.06","6456.67","12913.34","19370.02","华东2（上海）"
"ml.r2a.xlarge","4 ","32","1.1026","538.06","6456.67","12913.34","19370.02","华南1（广州）"
"ml.r2a.xlarge","4 ","32","1.1026","538.06","6456.67","12913.34","19370.02","华北2（北京）"
"ml.r2a.2xlarge","8 ","64","2.2051","1076.11","12913.34","25826.69","38740.03","华东2（上海）"
"ml.r2a.2xlarge","8 ","64","2.2051","1076.11","12913.34","25826.69","38740.03","华南1（广州）"
"ml.r2a.2xlarge","8 ","64","2.2051","1076.11","12913.34","25826.69","38740.03","华北2（北京）"
"ml.r2a.4xlarge","16 ","128","4.4103","2152.22","25826.69","51653.38","77480.06","华东2（上海）"
"ml.r2a.4xlarge","16 ","128","4.4103","2152.22","25826.69","51653.38","77480.06","华南1（广州）"
"ml.r2a.4xlarge","16 ","128","4.4103","2152.22","25826.69","51653.38","77480.06","华北2（北京）"
"ml.r2a.8xlarge","32 ","256","8.8206","4304.45","51653.38","103306.75","154960.13","华东2（上海）"
"ml.r2a.8xlarge","32 ","256","8.8206","4304.45","51653.38","103306.75","154960.13","华南1（广州）"
"ml.r2a.8xlarge","32 ","256","8.8206","4304.45","51653.38","103306.75","154960.13","华北2（北京）"
"ml.r2a.16xlarge","64 ","512","17.6412","8608.9","103306.75","206613.5","309920.26","华东2（上海）"
"ml.r2a.16xlarge","64 ","512","17.6412","8608.9","103306.75","206613.5","309920.26","华南1（广州）"
"ml.r2a.16xlarge","64 ","512","17.6412","8608.9","103306.75","206613.5","309920.26","华北2（北京）"
"ml.r2a.28xlarge","112 ","970","30.8721","15065.57","180786.82","361573.63","542360.45","华东2（上海）"
"ml.r2a.28xlarge","112 ","970","30.8721","15065.57","180786.82","361573.63","542360.45","华南1（广州）"
"ml.r2a.28xlarge","112 ","970","30.8721","15065.57","180786.82","361573.63","542360.45","华北2（北京）"
"ml.g1ve.2xlarge","8 ","32","25.67","6285.27","75423.24","150846.48","226269.72","华北2（北京）"
"ml.g1ve.2xlarge","8 ","32","25.67","6285.27","75423.24","150846.48","226269.72","华东2（上海）"
"ml.g1ve.4xlarge","16 ","64","51.33","12570.54","150846.48","301692.96","452539.44","华北2（北京）"
"ml.g1ve.4xlarge","16 ","64","51.33","12570.54","150846.48","301692.96","452539.44","华东2（上海）"
"ml.g1ve.8xlarge","32 ","128","102.66","25141.07","301692.84","603385.68","905078.52","华北2（北京）"
"ml.g1ve.8xlarge","32 ","128","102.66","25141.07","301692.84","603385.68","905078.52","华东2（上海）"
"ml.g1ve.21xlarge","84 ","342","204.3","51794","621528","1243056","1864584","华北2（北京）"
"ml.g1ve.21xlarge","84 ","342","204.3","51794","621528","1243056","1864584","华东2（上海）"
"ml.g1te.xlarge","4 ","16","11.2811","3248.96","38987.52","77975.04","116962.56","华北2（北京）"
"ml.g1te.xlarge","4 ","16","11.2811","3248.96","38987.52","77975.04","116962.56","华南1（广州）"
"ml.g1te.xlarge","4 ","16","11.2811","3248.96","38987.52","77975.04","116962.56","华东2（上海）"
"ml.g1te.2xlarge","8 ","26","13.58","3486.01","41832.17","83664.34","125496.51","华北2（北京）"
"ml.g1te.2xlarge","8 ","26","13.58","3486.01","41832.17","83664.34","125496.51","华南1（广州）"
"ml.g1te.2xlarge","8 ","26","13.58","3486.01","41832.17","83664.34","125496.51","华东2（上海）"
"ml.g1te.4xlarge","16 ","52","27.16","6972.03","83664.34","167328.68","250993.02","华北2（北京）"
"ml.g1te.4xlarge","16 ","52","27.16","6972.03","83664.34","167328.68","250993.02","华南1（广州）"
"ml.g1te.4xlarge","16 ","52","27.16","6972.03","83664.34","167328.68","250993.02","华东2（上海）"
"ml.g1te.8xlarge","32 ","104","54.32","13944.06","167328.68","334657.36","501986.04","华北2（北京）"
"ml.g1te.8xlarge","32 ","104","54.32","13944.06","167328.68","334657.36","501986.04","华南1（广州）"
"ml.g1te.8xlarge","32 ","104","54.32","13944.06","167328.68","334657.36","501986.04","华东2（上海）"
"ml.g1te.21xlarge","84 ","214","111.356","30302","363624","727248","1090872","华北2（北京）"
"ml.g1te.21xlarge","84 ","214","111.356","30302","363624","727248","1090872","华南1（广州）"
"ml.g1te.21xlarge","84 ","214","111.356","30302","363624","727248","1090872","华东2（上海）"
"ml.gni2.3xlarge","14 ","56","10.09","4845","58140","116280","174420","华北2（北京）"
