计费项,计费方式,计费单位,刊例价,计费项说明,地域
"按量计算资源池","按量计费","CU (1CU = 1 vCore 4GiB Mem)","0.38元/小时/CU","按任务运行后的实际使用CU计费，后付费","华北2（北京）"
"按量计算资源池","按量计费","CU (1CU = 1 vCore 4GiB Mem)","0.38元/小时/CU","按任务运行后的实际使用CU计费，后付费","华南1（广州）"
"按量计算资源池","按量计费","CU (1CU = 1 vCore 4GiB Mem)","0.38元/小时/CU","按任务运行后的实际使用CU计费，后付费","华东2（上海）"
"按量计算资源池","按量计费","CU (1CU = 1 vCore 4GiB Mem)","0.38元/小时/CU","按任务运行后的实际使用CU计费，后付费","亚太东南（柔佛）"
"包年包月计算资源池","包年包月","CU (1CU = 1 vCore 4GiB Mem)","180元/月/CU","按购买的CU数计费，预付费","亚太东南（柔佛）"
"包年包月计算资源池","包年包月","CU (1CU = 1 vCore 4GiB Mem)","180元/月/CU","按购买的CU数计费，预付费","华北2（北京）"
"包年包月计算资源池","包年包月","CU (1CU = 1 vCore 4GiB Mem)","180元/月/CU","按购买的CU数计费，预付费","华南1（广州）"
"包年包月计算资源池","包年包月","CU (1CU = 1 vCore 4GiB Mem)","180元/月/CU","按购买的CU数计费，预付费","华东2（上海）"
,
,
,
计费项,计费方式,计费单位,刊例价,计费项说明,地域
"按量计算资源池","按量计费","CU (1CU = 1 vCore 4GiB Mem)","0.52元/小时/CU","按任务运行后的实际使用CU计费，后付费","亚太东南（柔佛）"
"包年包月计算资源池","包年包月","CU (1CU = 1 vCore 4GiB Mem)","280元/月/CU","按购买的CU数计费，预付费","亚太东南（柔佛）"
