规格类型,业务读流量峰值（MB/s）,业务写流量峰值（MB/s）,分区数,按量付费 (小时),包月,包1年,包2年,包3年,地域
"kafka.20xrate.hw","20","20","350","1.61","1056.5","12678","25356","38034","华北2（北京）"
"kafka.20xrate.hw","20","20","350","1.61","1056.5","12678","25356","38034","华东2（上海）"
"kafka.20xrate.hw","20","20","350","2.2","1056.5","12678","25356","38034","华南1（广州）"
"kafka.20xrate.hw","20","20","350","2.93","1405.1","16861.2","33722.4","50583.6","亚太东南（柔佛）"
"kafka.20xrate.hw","20","20","350","3.22","2113","25356","50712","76068","亚太东南（雅加达）"
"kafka.20xrate.hw","20","20","350","3.81","2500","30000","60000","90000","中国香港"
"kafka.30xrate.hw","30","30","350","3.06","2003.5","24042","48084","72126","华东2（上海）"
"kafka.30xrate.hw","30","30","350","3.06","2003.5","24042","48084","72126","华南1（广州）"
"kafka.30xrate.hw","30","30","350","3.06","2003.5","24042","48084","72126","华北2（北京）"
"kafka.30xrate.hw","30","30","350","4.07","2664.6","31975.2","63950.4","95925.6","亚太东南（柔佛）"
"kafka.30xrate.hw","30","30","350","6.12","4007","48084","96168","144252","亚太东南（雅加达）"
"kafka.30xrate.hw","30","30","350","4.59","3005.25","36063","72126","108189","中国香港"
"kafka.60xrate.hw","60","60","400","4.27","2793.5","33522","67044","100566","华东2（上海）"
"kafka.60xrate.hw","60","60","400","4.27","2793.5","33522","67044","100566","华北2（北京）"
"kafka.60xrate.hw","60","60","400","4.27","2793.5","33522","67044","100566","华南1（广州）"
"kafka.60xrate.hw","60","60","400","5.68","3715.4","44584.8","89169.6","133754.4","亚太东南（柔佛）"
"kafka.60xrate.hw","60","60","400","8.54","5587","67044","134088","201132","亚太东南（雅加达）"
"kafka.60xrate.hw","60","60","400","6.41","4190.25","50283","100566","150849","中国香港"
"kafka.100xrate.hw","100","100","600","5.75","3763","45156","90312","135468","华北2（北京）"
"kafka.100xrate.hw","100","100","600","5.75","3763","45156","90312","135468","华南1（广州）"
"kafka.100xrate.hw","100","100","600","5.75","3763","45156","90312","135468","华东2（上海）"
"kafka.100xrate.hw","100","100","600","7.65","5004.8","60057.6","120115.2","180172.8","亚太东南（柔佛）"
"kafka.100xrate.hw","100","100","600","11.5","7526","90312","180624","270936","亚太东南（雅加达）"
"kafka.100xrate.hw","100","100","600","8.63","5644.5","67734","135468","203202","中国香港"
"kafka.150xrate.hw","150","150","700","11.88","7772","93264","186528","279792","亚太东南（柔佛）"
"kafka.150xrate.hw","150","150","700","8.93","5844","70128","140256","210384","华北2（北京）"
"kafka.150xrate.hw","150","150","700","8.93","5844","70128","140256","210384","华南1（广州）"
"kafka.150xrate.hw","150","150","700","8.93","5844","70128","140256","210384","华东2（上海）"
"kafka.150xrate.hw","150","150","700","17.86","11688","140256","280512","420768","亚太东南（雅加达）"
"kafka.150xrate.hw","150","150","700","13.4","8766","105192","210384","315576","中国香港"
"kafka.200xrate.hw","200","200","750","11.43","7482","89784","179568","269352","华东2（上海）"
"kafka.200xrate.hw","200","200","750","11.43","7482","89784","179568","269352","华南1（广州）"
"kafka.200xrate.hw","200","200","750","11.43","7482","89784","179568","269352","华北2（北京）"
"kafka.200xrate.hw","200","200","750","15.2","9951","119412","238824","358236","亚太东南（柔佛）"
