实例类型,规格类型,推荐TPS峰值,建议队列数,按量付费 (小时),包月,包1年,包2年,包3年,地域
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","华东2（上海）"
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","中国香港"
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","华南1（广州）"
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","华北2（北京）"
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","亚太东南（雅加达）"
"单机","rabbitmq.n1.x4.small","1,500","200","1.26","861.84","10342.08","20684.16","31026.24","亚太东南（柔佛）"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","华东2（上海）"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","中国香港"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","华南1（广州）"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","华北2（北京）"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","亚太东南（雅加达）"
"单机","rabbitmq.n1.x4.medium","3,000","400","2.52","1723.68","20684.16","41368.32","62052.48","亚太东南（柔佛）"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","华东2（上海）"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","中国香港"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","华南1（广州）"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","华北2（北京）"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","亚太东南（雅加达）"
"单机","rabbitmq.n1.x4.large","6,000","800","5.04","3447.36","41368.32","82736.64","124104.96","亚太东南（柔佛）"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","华东2（上海）"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","中国香港"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","华南1（广州）"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","华北2（北京）"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","亚太东南（雅加达）"
"集群","rabbitmq.n3.x4.small","4,500","600","3.78","2585.52","31026.24","62052.48","93078.72","亚太东南（柔佛）"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","华东2（上海）"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","中国香港"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","华南1（广州）"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","华北2（北京）"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","亚太东南（雅加达）"
"集群","rabbitmq.n5.x4.small","7,500","1,000","6.3","4309.2","51710.4","103420.8","155131.2","亚太东南（柔佛）"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","华东2（上海）"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","中国香港"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","华南1（广州）"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","华北2（北京）"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","亚太东南（雅加达）"
"集群","rabbitmq.n3.x4.medium","9,000","1,200","7.56","5171.04","62052.48","124104.96","186157.44","亚太东南（柔佛）"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","华东2（上海）"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","中国香港"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","华南1（广州）"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","华北2（北京）"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","亚太东南（雅加达）"
"集群","rabbitmq.n7.x4.small","10,500","1,400","8.82","6032.88","72394.56","144789.12","217183.68","亚太东南（柔佛）"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","华东2（上海）"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","中国香港"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","华南1（广州）"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","华北2（北京）"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","亚太东南（雅加达）"
"集群","rabbitmq.n9.x4.small","13,500","1,800","11.34","7756.56","93078.72","186157.44","279236.16","亚太东南（柔佛）"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","华东2（上海）"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","中国香港"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","华南1（广州）"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","华北2（北京）"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","亚太东南（雅加达）"
"集群","rabbitmq.n5.x4.medium","15,000","2,000","12.6","8618.4","103420.8","206841.6","310262.4","亚太东南（柔佛）"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","华东2（上海）"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","中国香港"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","华南1（广州）"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","华北2（北京）"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","亚太东南（雅加达）"
"集群","rabbitmq.n3.x4.large","18,000","2,400","15.12","10342.08","124104.96","248209.92","372314.88","亚太东南（柔佛）"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","华东2（上海）"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","中国香港"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","华南1（广州）"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","华北2（北京）"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","亚太东南（雅加达）"
"集群","rabbitmq.n7.x4.medium","21,000","2,800","17.64","12065.76","144789.12","289578.24","434367.36","亚太东南（柔佛）"
