规格类型,推荐TPS峰值,按量计费 (小时),包月,包1年,包2年,包3年,地域
"rocketmq.n1.x2.micro","2000","2.39","1064","12768","25536","38304","亚太东南（柔佛）"
"rocketmq.n1.x2.micro","2000","1.8","800","9600","19200","28800","华南1（广州）"
"rocketmq.n1.x2.micro","2000","1.8","800","9600","19200","28800","华东2（上海）"
"rocketmq.n1.x2.micro","2000","1.8","800","9600","19200","28800","华北2（北京）"
"rocketmq.n1.x2.micro","2000","3.6","1600","19200","38400","57600","亚太东南（雅加达）"
"rocketmq.n1.x2.micro","2000","3.6","1600","19200","38400","57600","中国香港"
"rocketmq.n1.x2.tiny","5000","4.79","2128","25536","51072","76608","亚太东南（柔佛）"
"rocketmq.n1.x2.tiny","5000","3.6","1600","19200","38400","57600","华北2（北京）"
"rocketmq.n1.x2.tiny","5000","3.6","1600","19200","38400","57600","华南1（广州）"
"rocketmq.n1.x2.tiny","5000","3.6","1600","19200","38400","57600","华东2（上海）"
"rocketmq.n1.x2.tiny","5000","7.2","3200","38400","76800","115200","亚太东南（雅加达）"
"rocketmq.n1.x2.tiny","5000","7.2","3200","38400","76800","115200","中国香港"
"rocketmq.n1.x2.small","10000","9.44","4256","51072","102144","153216","亚太东南（柔佛）"
"rocketmq.n1.x2.small","10000","7.1","3200","38400","76800","115200","华南1（广州）"
"rocketmq.n1.x2.small","10000","7.1","3200","38400","76800","115200","华东2（上海）"
"rocketmq.n1.x2.small","10000","7.1","3200","38400","76800","115200","华北2（北京）"
"rocketmq.n1.x2.small","10000","14.2","6400","76800","153600","230400","亚太东南（雅加达）"
"rocketmq.n1.x2.small","10000","14.2","6400","76800","153600","230400","中国香港"
"rocketmq.n1.x2.medium","20000","18.62","8379","100548","201096","301644","亚太东南（柔佛）"
"rocketmq.n1.x2.medium","20000","14","6300","75600","151200","226800","华东2（上海）"
"rocketmq.n1.x2.medium","20000","14","6300","75600","151200","226800","华北2（北京）"
"rocketmq.n1.x2.medium","20000","14","6300","75600","151200","226800","华南1（广州）"
"rocketmq.n1.x2.medium","20000","28","12600","151200","302400","453600","亚太东南（雅加达）"
"rocketmq.n1.x2.medium","20000","28","12600","151200","302400","453600","中国香港"
"rocketmq.n2.x2.medium","40000","29.79","13406.4","160876.8","321753.6","482630.4","亚太东南（柔佛）"
"rocketmq.n2.x2.medium","40000","22.4","10080","120960","241920","362880","华南1（广州）"
"rocketmq.n2.x2.medium","40000","22.4","10080","120960","241920","362880","华北2（北京）"
"rocketmq.n2.x2.medium","40000","22.4","10080","120960","241920","362880","华东2（上海）"
"rocketmq.n2.x2.medium","40000","44.8","20160","241920","483840","725760","亚太东南（雅加达）"
"rocketmq.n2.x2.medium","40000","44.8","20160","241920","483840","725760","中国香港"
"rocketmq.n3.x2.medium","60000","40.96","18433.8","221205.6","442411.2","663616.8","亚太东南（柔佛）"
"rocketmq.n3.x2.medium","60000","30.8","13860","166320","332640","498960","华东2（上海）"
"rocketmq.n3.x2.medium","60000","30.8","13860","166320","332640","498960","华北2（北京）"
"rocketmq.n3.x2.medium","60000","30.8","13860","166320","332640","498960","华南1（广州）"
"rocketmq.n3.x2.medium","60000","61.6","27720","332640","665280","997920","亚太东南（雅加达）"
"rocketmq.n3.x2.medium","60000","61.6","27720","332640","665280","997920","中国香港"
"rocketmq.n4.x2.medium","80000","51.87","23461.2","281534.4","563068.8","844603.2","亚太东南（柔佛）"
"rocketmq.n4.x2.medium","80000","39","17640","211680","423360","635040","华东2（上海）"
"rocketmq.n4.x2.medium","80000","39","17640","211680","423360","635040","华北2（北京）"
"rocketmq.n4.x2.medium","80000","39","17640","211680","423360","635040","华南1（广州）"
"rocketmq.n4.x2.medium","80000","78","35280","423360","846720","1270080","亚太东南（雅加达）"
"rocketmq.n4.x2.medium","80000","78","35280","423360","846720","1270080","中国香港"
"rocketmq.n5.x2.medium","100000","63.84","28488.6","341863.2","683726.4","1025589.6","亚太东南（柔佛）"
"rocketmq.n5.x2.medium","100000","48","21420","257040","514080","771120","华南1（广州）"
"rocketmq.n5.x2.medium","100000","48","21420","257040","514080","771120","华北2（北京）"
"rocketmq.n5.x2.medium","100000","48","21420","257040","514080","771120","华东2（上海）"
"rocketmq.n5.x2.medium","100000","96","42840","514080","1028160","1542240","亚太东南（雅加达）"
"rocketmq.n5.x2.medium","100000","96","42840","514080","1028160","1542240","中国香港"
"rocketmq.n6.x2.medium","120000","74.48","33516","402192","804384","1206576","亚太东南（柔佛）"
"rocketmq.n6.x2.medium","120000","56","25200","302400","604800","907200","华东2（上海）"
"rocketmq.n6.x2.medium","120000","56","25200","302400","604800","907200","华北2（北京）"
"rocketmq.n6.x2.medium","120000","56","25200","302400","604800","907200","华南1（广州）"
"rocketmq.n6.x2.medium","120000","112","50400","604800","1209600","1814400","亚太东南（雅加达）"
"rocketmq.n6.x2.medium","120000","112","50400","604800","1209600","1814400","中国香港"
"rocketmq.n6.x2.large","180000","107.92","51800","621600","1243200","1864800","华东2（上海）"
"rocketmq.n6.x2.large","180000","107.92","51800","621600","1243200","1864800","华南1（广州）"
