模型提供方,模型,上下文长度,服务类型 ,定价（单位：元/千tokens）
"字节跳动","Doubao-Seed-2.0-pro（32k输入）","输入长度[0,32]","推理（输入）","0.0032"
"字节跳动","Doubao-Seed-2.0-pro（32k输出）","输入长度[0,32]","推理（输出）","0.016"
"字节跳动","Doubao-Seed-2.0-pro（128k输入）","输入长度(32,128]","推理（输入）","0.0048"
"字节跳动","Doubao-Seed-2.0-pro（128k输出）","输入长度(32,128]","推理（输出）","0.024"
"字节跳动","Doubao-Seed-2.0-pro（256k输入）","输入长度(128,256]","推理（输入）","0.0096"
"字节跳动","Doubao-Seed-2.0-pro（256k输出）","输入长度(128,256]","推理（输出）","0.048"
"字节跳动","Doubao-Seed-2.0-pro（32k批量输入）","输入长度[0,32]","批量推理（输入）","0.0016"
"字节跳动","Doubao-Seed-2.0-pro（32k批量输出）","输入长度[0,32]","批量推理（输出）","0.008"
"字节跳动","Doubao-Seed-2.0-pro（128k批量输入）","输入长度(32,128]","批量推理（输入）","0.0024"
"字节跳动","Doubao-Seed-2.0-pro（128k批量输出）","输入长度(32,128]","批量推理（输出）","0.012"
"字节跳动","Doubao-Seed-2.0-pro（256k批量输入）","输入长度(128,256]","批量推理（输入）","0.0048"
"字节跳动","Doubao-Seed-2.0-pro（256k批量输出）","输入长度(128,256]","批量推理（输出）","0.024"
"字节跳动","Doubao-Seed-2.0-mini（32k输入）","输入长度[0,32]","推理（输入）","0.0002"
"字节跳动","Doubao-Seed-2.0-mini（32k输出）","输入长度[0,32]","推理（输出）","0.002"
"字节跳动","Doubao-Seed-2.0-mini（128k输入）","输入长度(32,128]","推理（输入）","0.0004"
"字节跳动","Doubao-Seed-2.0-mini（128k输出）","输入长度(32,128]","推理（输出）","0.004"
"字节跳动","Doubao-Seed-2.0-mini（256k输入）","输入长度(128,256]","推理（输入）","0.0008"
"字节跳动","Doubao-Seed-2.0-mini（256k输出）","输入长度(128,256]","推理（输出）","0.008"
"字节跳动","Doubao-Seed-2.0-mini（32k批量输入）","输入长度[0,32]","批量推理（输入）","0.0001"
"字节跳动","Doubao-Seed-2.0-mini（32k批量输出）","输入长度[0,32]","批量推理（输出）","0.001"
"字节跳动","Doubao-Seed-2.0-mini（128k批量输入）","输入长度(32,128]","批量推理（输入）","0.0002"
"字节跳动","Doubao-Seed-2.0-mini（128k批量输出）","输入长度(32,128]","批量推理（输出）","0.002"
"字节跳动","Doubao-Seed-2.0-mini（256k批量输入）","输入长度(128,256]","批量推理（输入）","0.0004"
"字节跳动","Doubao-Seed-2.0-mini（256k批量输出）","输入长度(128,256]","批量推理（输出）","0.004"
"字节跳动","Doubao-Seed-2.0-lite（32k输入）","输入长度[0,32]","推理（输入）","0.0006"
"字节跳动","Doubao-Seed-2.0-lite（32k输出）","输入长度[0,32]","推理（输出）","0.0036"
"字节跳动","Doubao-Seed-2.0-lite（128k输入）","输入长度(32,128]","推理（输入）","0.0009"
"字节跳动","Doubao-Seed-2.0-lite（128k输出）","输入长度(32,128]","推理（输出）","0.0054"
"字节跳动","Doubao-Seed-2.0-lite（256k输入）","输入长度(128,256]","推理（输入）","0.0018"
"字节跳动","Doubao-Seed-2.0-lite（256k输出）","输入长度(128,256]","推理（输出）","0.0108"
"字节跳动","Doubao-Seed-2.0-lite（32k批量输入）","输入长度[0,32]","批量推理（输入）","0.0003"
"字节跳动","Doubao-Seed-2.0-lite（32k批量输出）","输入长度[0,32]","批量推理（输出）","0.0018"
"字节跳动","Doubao-Seed-2.0-lite（128k批量输入）","输入长度(32,128]","批量推理（输入）","0.00045"
"字节跳动","Doubao-Seed-2.0-lite（128k批量输出）","输入长度(32,128]","批量推理（输出）","0.0027"
"字节跳动","Doubao-Seed-2.0-lite（256k批量输入）","输入长度(128,256]","批量推理（输入）","0.0009"
"字节跳动","Doubao-Seed-2.0-lite（256k批量输出）","输入长度(128,256]","批量推理（输出）","0.0054"
"字节跳动","Doubao_Seed_1.8（256k批量输出）","输入长度 (128, 256]","批量推理（输出）","0.012"
"字节跳动","Doubao_Seed_1.8（256k批量输入）","输入长度 (128, 256]","批量推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.8（128k批量输出）","输入长度 [32, 128]","批量推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.8（128k批量输入）","输入长度 [32, 128]","批量推理（输入）","0.0006"
"字节跳动","Doubao_Seed_1.8（32k批量输出）","输入长度 [0, 32]，输出长度>0.2","批量推理（输出）","0.004"
"字节跳动","Doubao_Seed_1.8（32k批量输入）","输入长度 [0, 32]，输出长度>0.2","批量推理（输入）","0.0004"
"字节跳动","Doubao_Seed_1.8（特惠区批量输出）","输入长度 [0, 32]，输出长度 [0, 0.2]","批量推理（输出）","0.001"
"字节跳动","Doubao_Seed_1.8（特惠区批量输入）","输入长度 [0, 32]，输出长度 [0, 0.2]","批量推理（输入）","0.0004"
"字节跳动","Doubao_Seed_1.8（256k输出）","输入长度 (128, 256]","推理（输出）","0.024"
"字节跳动","Doubao_Seed_1.8（256k输入）","输入长度 (128, 256]","推理（输入）","0.0024"
"字节跳动","Doubao_Seed_1.8（128k输出）","输入长度 [32, 128]","推理（输出）","0.016"
"字节跳动","Doubao_Seed_1.8（128k输入）","输入长度 [32, 128]","推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.8（32k输出）","输入长度 [0, 32]，输出长度>0.2","推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.8（32k输入）","输入长度 [0, 32]，输出长度>0.2","推理（输入）","0.0008"
"字节跳动","Doubao_Seed_1.8（特惠区输出）","输入长度 [0, 32]，输出长度 [0, 0.2]","推理（输出）","0.002"
"字节跳动","Doubao_Seed_1.8（特惠区输入）","输入长度 [0, 32]，输出长度 [0, 0.2]","推理（输入）","0.0008"
"字节跳动","Doubao_Seed_1.6（256k批量输出）","输入长度 [128, 256]","批量推理（输出）","0.012"
"字节跳动","Doubao_Seed_1.6（256k批量输入）","输入长度 [128, 256]","批量推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.6（128k批量输出）","输入长度 [32, 128]","批量推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.6（128k批量输入）","输入长度 [32, 128]","批量推理（输入）","0.0006"
"字节跳动","Doubao_Seed_1.6（32k批量输出）","输入长度 [0, 32]，输出长度 [0.2, 16]","批量推理（输出）","0.004"
"字节跳动","Doubao_Seed_1.6（32k批量输入）","输入长度 [0, 32]，输出长度 [0.2, 16]","批量推理（输入）","0.0004"
"字节跳动","Doubao_Seed_1.6（特惠区批量输出）","输入长度 [0, 32]，输出长度 [0, 0.2]","批量推理（输出）","0.001"
"字节跳动","Doubao_Seed_1.6（特惠区批量输入）","输入长度 [0, 32]，输出长度 [0, 0.2]","批量推理（输入）","0.0004"
"字节跳动","Doubao_Seed_1.6（256k输出）","输入长度 (128, 256]","推理（输出）","0.024"
"字节跳动","Doubao_Seed_1.6（256k输入）","输入长度 (128, 256]","推理（输入）","0.0024"
"字节跳动","Doubao_Seed_1.6（128k输出）","输入长度 [32, 128]","推理（输出）","0.016"
"字节跳动","Doubao_Seed_1.6（128k输入）","输入长度 [32, 128]","推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.6（32k输出）","输入长度 [0, 32]，输出长度 [0.2, 16]","推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.6（32k输入）","输入长度 [0, 32]，输出长度 [0.2, 16]","推理（输入）","0.0008"
"字节跳动","Doubao_Seed_1.6（特惠区输出）","输入长度 [0, 32]，输出长度 [0, 0.2]","推理（输出）","0.002"
"字节跳动","Doubao_Seed_1.6（特惠区输入）","输入长度 [0, 32]，输出长度 [0, 0.2]","推理（输入）","0.0008"
"深度求索","DeepSeek_V3.1(输入)","输入长度 [32, 128]","批量推理（输出）","0.004"
"深度求索","DeepSeek_V3.1(输出)","输入长度 [32, 128]","推理（输出）","0.012"
"深度求索","DeepSeek_V3.1(批量输入)","输入长度 [32, 128]","批量推理（输入）","0.002"
"深度求索","DeepSeek_V3.1(批量输出)","输入长度 [32, 128]","推理（输入）","0.006"
"字节跳动","Doubao-Seed-1.6-thinking（256k批量输出）","输入长度 (128, 256]","批量推理（输出）","0.012"
"字节跳动","Doubao-Seed-1.6-thinking（256k批量输入））","输入长度 (128, 256]","推理（输出）","0.0012"
"字节跳动","Doubao-Seed-1.6-thinking（128k批量输出）","输入长度 (128, 256]","批量推理（输入）","0.008"
"字节跳动","Doubao-Seed-1.6-thinking（128k批量输入）","输入长度 (128, 256]","推理（输入）","0.0006"
"字节跳动","Doubao-Seed-1.6-thinking（32k批量输出）","输入长度 [0, 32]","批量推理（输出）","0.004"
"字节跳动","Doubao-Seed-1.6-thinking（32k批量输入）","输入长度 [0, 32]","推理（输出）","0.0004"
"字节跳动","Doubao-Seed-1.6-thinking（256k输出）","输入长度 [0, 32]","批量推理（输入）","0.024"
"字节跳动","Doubao-Seed-1.6-thinking（256k输入）","输入长度 [0, 32]","推理（输入）","0.0024"
"字节跳动","Doubao-Seed-1.6-thinking（128k输出）","输入长度 [32, 128]","批量推理（输出）","0.016"
"字节跳动","Doubao-Seed-1.6-thinking（128k输入）","输入长度 [32, 128]","推理（输出）","0.0012"
"字节跳动","Doubao-Seed-1.6-thinking（32k输出）","输入长度 [32, 128]","批量推理（输入）","0.008"
"字节跳动","Doubao-Seed-1.6-thinking（32k输入）","输入长度 [32, 128]","推理（输入）","0.0008"
"字节跳动","Doubao-Seed-1.6-flash（256k批量输出）","输入长度 (128, 256]","批量推理（输出）","0.003"
"字节跳动","Doubao-Seed-1.6-flash（256k批量输入）","输入长度 (128, 256]","推理（输出）","0.0003"
"字节跳动","Doubao-Seed-1.6-flash（128k批量输出）","输入长度 (128, 256]","批量推理（输入）","0.0015"
"字节跳动","Doubao-Seed-1.6-flash（128k批量输入）","输入长度 (128, 256]","推理（输入）","0.00015"
"字节跳动","Doubao-Seed-1.6-flash（32k批量输出）","输入长度 [0, 32]","批量推理（输出）","0.00075"
"字节跳动","Doubao-Seed-1.6-flash（32k批量输入）","输入长度 [0, 32]","推理（输出）","0.000075"
"字节跳动","Doubao-Seed-1.6-flash（256k输出）","输入长度 [0, 32]","批量推理（输入）","0.006"
"字节跳动","Doubao-Seed-1.6-flash（256k输入）","输入长度 [0, 32]","推理（输入）","0.0006"
"字节跳动","Doubao-Seed-1.6-flash（128k输出）","输入长度 [32, 128]","批量推理（输出）","0.003"
"字节跳动","Doubao-Seed-1.6-flash（128k输入）","输入长度 [32, 128]","推理（输出）","0.0003"
"字节跳动","Doubao-Seed-1.6-flash（32k输出）","输入长度 [32, 128]","批量推理（输入）","0.0015"
"字节跳动","Doubao-Seed-1.6-flash（32k输入）","输入长度 [32, 128]","推理（输入）","0.00015"
"字节跳动","Doubao_Seed_1.6_vision(32k输入)","输入长度 (128, 256]","批量推理（输出）","0.0008"
"字节跳动","Doubao_Seed_1.6_vision(32k输出)","输入长度 (128, 256]","推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.6_vision(128k输入)","输入长度 (128, 256]","批量推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.6_vision(128k输出)","输入长度 (128, 256]","推理（输入）","0.016"
"字节跳动","Doubao_Seed_1.6_vision(256k输入)","输入长度 [0, 32]","批量推理（输出）","0.0024"
"字节跳动","Doubao_Seed_1.6_vision(256k输出)","输入长度 [0, 32]","推理（输出）","0.024"
"字节跳动","Doubao_Seed_1.6_vision(32k批量输入)","输入长度 [0, 32]","批量推理（输入）","0.0004"
"字节跳动","Doubao_Seed_1.6_vision(32k批量输出)","输入长度 [0, 32]","推理（输入）","0.004"
"字节跳动","Doubao_Seed_1.6_vision(128k批量输入)","128k","批量推理（输出）","0.0006"
"字节跳动","Doubao_Seed_1.6_vision(128k批量输出)","128k","推理（输出）","0.008"
"字节跳动","Doubao_Seed_1.6_vision(256k批量输入)","128k","批量推理（输入）","0.0012"
"字节跳动","Doubao_Seed_1.6_vision(256k批量输出)","128k","推理（输入）","0.012"
"字节跳动","Doubao1.5-think-vision-pro（输入）","128k","批量推理（输出）","0.003"
"字节跳动","Doubao1.5-think-vision-pro（输出）","128k","推理（输出）","0.009"
"字节跳动","Doubao1.5-think-vision-pro（批量输入）","128k","批量推理（输入）","0.0015"
"字节跳动","Doubao1.5-think-vision-pro（批量输出）","128k","推理（输入）","0.0045"
"字节跳动","Doubao1.5-think-pro（输入）","32k","批量推理（输出）","0.004"
"字节跳动","Doubao1.5-think-pro（输出）","32k","批量推理（输入）","0.016"
"字节跳动","Doubao1.5-think-pro（批量输入）","32k","推理（输出）","0.002"
"字节跳动","Doubao1.5-think-pro（批量输出）","32k","推理（输入）","0.008"
"深度求索","DeepSeek-R1（输入）","64k","批量推理（输出）","0.004"
"深度求索","DeepSeek-R1（输出）","64k","批量推理（输入）","0.016"
"深度求索","DeepSeek-R1（批量输入）","64k","推理（输出）","0.002"
"深度求索","DeepSeek-R1（批量输出）","64k","推理（输入）","0.008"
"深度求索","DeepSeek-R1-D-Qwen7B（输入）","64k","批量推理（输出）","0.0006"
"深度求索","DeepSeek-R1-D-Qwen7B（输出）","64k","批量推理（输入）","0.0024"
"深度求索","DeepSeek-R1-D-Qwen7B（批量输入）","64k","推理（输出）","0.0003"
"深度求索","DeepSeek-R1-D-Qwen7B（批量输出）","64k","推理（输入）","0.0012"
"深度求索","DeepSeek-R1-D-Qwen32B（输入）","128k","推理（输入）","0.0015"
"深度求索","DeepSeek-R1-D-Qwen32B（输出）","128k","推理（输出）","0.006"
"深度求索","DeepSeek-R1-D-Qwen32B（批量输入）","128k","批量推理（输入）","0.00075"
"深度求索","DeepSeek-R1-D-Qwen32B（批量输出）","128k","批量推理（输出）","0.003"
,
,
,
模型提供方,模型,上下文长度,服务类型,定价（单位：元/千tokens）
"字节跳动","Doubao1.5-lite-32k(输入)","32k","推理（输入）","0.0003"
"字节跳动","Doubao1.5-lite-32k(输出)","32k","推理（输出）","0.0006"
"字节跳动","Doubao1.5-lite-32k(批量输入)","32k","批量推理（输入）","0.00015"
"字节跳动","Doubao1.5-lite-32k(批量输出)","32k","批量推理（输出）","0.0003"
"字节跳动","Doubao1.5-pro-256k(输入)","256k","推理（输入）","0.005"
"字节跳动","Doubao1.5-pro-256k(输出)","256k","推理（输出）","0.009"
"字节跳动","Doubao1.5-pro-256k(批量输入)","256k","批量推理（输入）","0.005"
"字节跳动","Doubao1.5-pro-256k(批量输出)","256k","批量推理（输出）","0.009"
"字节跳动","Doubao1.5-pro-32k(输入)","32k","推理（输入）","0.0008"
"字节跳动","Doubao1.5-pro-32k(输出)","32k","推理（输出）","0.002"
"字节跳动","Doubao1.5-pro-32k(批量输入)","32k","批量推理（输入）","0.0004"
"字节跳动","Doubao1.5-pro-32k(批量输出)","32k","批量推理（输出）","0.001"
"深度求索","DeepSeek-V3(输入)","128k","推理（输入）","0.002"
"深度求索","DeepSeek-V3(输出)","128k","推理（输出）","0.008"
"深度求索","DeepSeek-V3(批量输入)","128k","批量推理（输入）","0.001"
"深度求索","DeepSeek-V3(批量输出)","128k","批量推理（输出）","0.004"
"月之暗面","Kimi_K2(输入)","256k","推理（输入）","0.004"
"月之暗面","Kimi_K2(输出)","256k","推理（输出）","0.016"
"月之暗面","Kimi_K2(批量输入)","256k","批量推理（输入）","0.002"
"月之暗面","Kimi_K2(批量输出)","256k","批量推理（输出）","0.008"
,
,
,
模型提供方,模型,上下文长度,服务类型,定价（单位：元/千tokens）
"字节跳动","Doubao-1.5-vision-pro（输入）","128k","推理（输入）","0.003"
"字节跳动","Doubao-1.5-vision-pro（输出）","128k","推理（输出）","0.009"
"字节跳动","Doubao-1.5-vision-pro（批量输入）","128k","批量推理（输入）","0.0015"
"字节跳动","Doubao-1.5-vision-pro（批量输出）","128k","批量推理（输出）","0.0045"
"字节跳动","Doubao-1.5-vision-lite（输入）","128k","推理（输入）","0.0015"
"字节跳动","Doubao-1.5-vision-lite（输出）","128k","推理（输出）","0.0045"
"字节跳动","Doubao-1.5-vision-lite（批量输入）","128k","批量推理（输入）","0.00075"
"字节跳动","Doubao-1.5-vision-lite（批量输出）","128k","批量推理（输出）","0.00225"
"字节跳动","Doubao-1.5-vision-pro-32k（输入）","32k","推理（输入）","0.003"
"字节跳动","Doubao-1.5-vision-pro-32k（输出）","32k","推理（输出）","0.009"
"字节跳动","Doubao-1.5-vision-pro-32k（批量输入）","32k","批量推理（输入）","0.0015"
