规格说明,定价,单位,WDL描述定义,备注,地域
"vCPU","0.002625","元/分钟/核","cpu: "1"","仅在任务运行时收费，启动中不收费","华北2（北京）"
"vCPU","0.002625","元/分钟/核","cpu: "1"","仅在任务运行时收费，启动中不收费","华东2（上海）"
"内存","0.000525","元/分钟/GiB","memory: "2GB"","仅在任务运行时收费，启动中不收费","华北2（北京）"
"内存","0.000525","元/分钟/GiB","memory: "2GB"","仅在任务运行时收费，启动中不收费","华东2（上海）"
"弹性块存储","0.00002","元/GiB/分钟","disk: "20 GB"","仅在任务运行时收费，启动中不收费","华东2（上海）"
"弹性块存储","0.00002","元/GiB/分钟","disk: "20 GB"","仅在任务运行时收费，启动中不收费","华北2（北京）"
,
,
,
规格说明,定价,单位,WDL描述定义,备注,地域
"vCPU","0.002625","元/分钟/核","cpu: "1"","仅在开启Notebook编辑时收费","华北2（北京）"
"vCPU","0.002625","元/分钟/核","cpu: "1"","仅在开启Notebook编辑时收费","华东2（上海）"
"内存","0.000525","元/分钟/GiB","memory: "2GB"","仅在开启Notebook编辑时收费","华北2（北京）"
"内存","0.000525","元/分钟/GiB","memory: "2GB"","仅在开启Notebook编辑时收费","华东2（上海）"
"外网流量计费","0.8","元/GB","-","仅在Notebook中使用外网流量时根据实际使用流量收费（在Notebook中如使用CLI获取对象存储数据会产生费用。）","华北2（北京）"
"外网流量计费","0.8","元/GB","-","仅在Notebook中使用外网流量时根据实际使用流量收费（在Notebook中如使用CLI获取对象存储数据会产生费用。）","华东2（上海）"
,
,
,
规格说明,定价,单位,WDL描述定义,备注,地域
"弹性块存储","0.00002","元/GiB/分钟","disk: "20 GB"","创建存储盘后会持续收费，删除存储盘后停止收费，平台提供20G的免费存储容量，扩容后超出的容量需要额外收费","华北2（北京）"
"弹性块存储","0.00002","元/GiB/分钟","disk: "20 GB"","创建存储盘后会持续收费，删除存储盘后停止收费，平台提供20G的免费存储容量，扩容后超出的容量需要额外收费","华东2（上海）"
