节点规格,按量付费（小时）,包月,包年,包2年,包3年,价格单位,地域
"2核4GiB","0.55","261.85","3142.2","6284.4","9426.6","元/个","亚太东南（柔佛）"
"2核4GiB","0.43","206.18","2474.16","4948.32","7422.48","元/个","华北2（北京）"
"2核4GiB","0.43","206.18","2474.16","4948.32","7422.48","元/个","华南1（广州）"
"2核4GiB","0.43","206.18","2474.16","4948.32","7422.48","元/个","华东2（上海）"
"4核8GiB","0.86","412.37","4948.44","9896.88","14845.32","元/个","华东2（上海）"
"4核8GiB","0.86","412.37","4948.44","9896.88","14845.32","元/个","华南1（广州）"
"4核8GiB","0.86","412.37","4948.44","9896.88","14845.32","元/个","华北2（北京）"
"4核8GiB","1.09","523.71","6284.52","12569.04","18853.56","元/个","亚太东南（柔佛）"
"4核16GiB","1.25","598.86","7186.32","14372.64","21558.96","元/个","华东2（上海）"
"4核16GiB","1.25","598.86","7186.32","14372.64","21558.96","元/个","华南1（广州）"
"4核16GiB","1.25","598.86","7186.32","14372.64","21558.96","元/个","华北2（北京）"
"4核16GiB","1.65","790.49","9485.88","18971.76","28457.64","元/个","亚太东南（柔佛）"
"8核16GiB","1.72","824.74","9896.88","19793.76","29690.64","元/个","华东2（上海）"
"8核16GiB","1.72","824.74","9896.88","19793.76","29690.64","元/个","华南1（广州）"
"8核16GiB","1.72","824.74","9896.88","19793.76","29690.64","元/个","华北2（北京）"
"8核16GiB","2.18","1047.42","12569.04","25138.08","37707.12","元/个","亚太东南（柔佛）"
"8核32GiB","3.29","1580.98","18971.76","37943.52","56915.28","元/个","亚太东南（柔佛）"
"8核32GiB","2.5","1197.71","14372.52","28745.04","43117.56","元/个","华北2（北京）"
"8核32GiB","2.5","1197.71","14372.52","28745.04","43117.56","元/个","华南1（广州）"
"8核32GiB","2.5","1197.71","14372.52","28745.04","43117.56","元/个","华东2（上海）"
"16核32GiB","4.36","2094.83","25137.96","50275.92","75413.88","元/个","亚太东南（柔佛）"
"16核32GiB","3.44","1649.47","19793.64","39587.28","59380.92","元/个","华北2（北京）"
"16核32GiB","3.44","1649.47","19793.64","39587.28","59380.92","元/个","华南1（广州）"
"16核32GiB","3.44","1649.47","19793.64","39587.28","59380.92","元/个","华东2（上海）"
"16核64GiB","6.59","3161.96","37943.52","75887.04","113830.56","元/个","亚太东南（柔佛）"
"16核64GiB","4.99","2395.42","28745.04","57490.08","86235.12","元/个","华北2（北京）"
"16核64GiB","4.99","2395.42","28745.04","57490.08","86235.12","元/个","华南1（广州）"
"16核64GiB","4.99","2395.42","28745.04","57490.08","86235.12","元/个","华东2（上海）"
"32核64GiB","6.87","3298.95","39587.4","79174.8","118762.2","元/个","华东2（上海）"
"32核64GiB","6.87","3298.95","39587.4","79174.8","118762.2","元/个","华南1（广州）"
"32核64GiB","6.87","3298.95","39587.4","79174.8","118762.2","元/个","华北2（北京）"
"32核64GiB","8.73","4189.66","50275.92","100551.84","150827.76","元/个","亚太东南（柔佛）"
,
,
,
节点规格,按量付费（小时）,包月,包年,包2年,包3年,价格单位,地域
"HDD存储","0.0022","1.05","12.6","25.2","37.8","元/GiB","亚太东南（柔佛）"
"HDD存储","0.0015","0.7","8.4","16.8","25.2","元/GiB","华北2（北京）"
"HDD存储","0.0015","0.7","8.4","16.8","25.2","元/GiB","华南1（广州）"
"HDD存储","0.0015","0.7","8.4","16.8","25.2","元/GiB","华东2（上海）"
"SSD存储","0.0066","3.15","37.8","75.6","113.4","元/GiB","亚太东南（柔佛）"
"SSD存储","0.0042","2","24","48","72","元/GiB","华北2（北京）"
"SSD存储","0.0042","2","24","48","72","元/GiB","华南1（广州）"
"SSD存储","0.0042","2","24","48","72","元/GiB","华东2（上海）"
,
,
,
节点规格,按量计费（小时）,包月,包年,包2年,包3年,价格单位,地域
"容量型存储","0.0002833333","0.14","1.63","3.26","4.9","元/GiB","亚太东南（柔佛）"
"容量型存储","0.00020625","0.1","1.19","2.38","3.56","元/GiB","华北2（北京）"
"容量型存储","0.00020625","0.1","1.19","2.38","3.56","元/GiB","华南1（广州）"
"容量型存储","0.00020625","0.1","1.19","2.38","3.56","元/GiB","华东2（上海）"
