区域,价格,单位
"标准直播-中国大陆","[0, 10000], 0.24；(10000, 50000], 0.23；(50000, 100000], 0.21；(100000, 1000000], 0.18；(1000000, +∞), 0.15","GB"
"标准直播-亚太1区","[0, 10000], 0.46；(10000, 50000], 0.43；(50000, 100000], 0.36；(100000, 1000000], 0.31；(1000000, +∞), 0.28","GB"
"标准直播-亚太2区","[0, 10000], 0.76；(10000, 50000], 0.7；(50000, 100000], 0.65；(100000, 1000000], 0.56；(1000000, +∞), 0.52","GB"
"标准直播-亚太3区","[0, 10000], 0.7；(10000, 50000], 0.64；(50000, 100000], 0.56；(100000, 1000000], 0.5；(1000000, +∞), 0.44","GB"
"标准直播-欧洲","[0, 10000], 0.44；(10000, 50000], 0.39；(50000, 100000], 0.31；(100000, 1000000], 0.2；(1000000, +∞), 0.16","GB"
"标准直播-中东","[0, 10000], 1.2；(10000, 50000], 1.1；(50000, 100000], 1.03；(100000, 1000000], 0.95；(1000000, +∞), 0.85","GB"
"标准直播-北美","[0, 10000], 0.44；(10000, 50000], 0.43；(50000, 100000], 0.36；(100000, 1000000], 0.31；(1000000, +∞), 0.28","GB"
"标准直播-南美","[0, 10000], 1.03；(10000, 50000], 0.98；(50000, 100000], 0.9；(100000, 1000000], 0.85；(1000000, +∞), 0.8","GB"
"标准直播-非洲","[0, 10000], 1.2；(10000, 50000], 1.1；(50000, 100000], 1.03；(100000, 1000000], 0.95；(1000000, +∞), 0.85","GB"
"标准直播-海外统一大区","[0, 10000], 0.76；(10000, 50000], 0.7；(50000, 100000], 0.65；(100000, 1000000], 0.56；(1000000, +∞), 0.52","GB"
"超低延时直播-中国大陆","[0, 10000], 0.312；(10000, 50000], 0.299；(50000, 100000], 0.273；(100000, 1000000], 0.234；(1000000, +∞), 0.195","GB"
"超低延时直播-亚太1区","[0, 10000], 0.598；(10000, 50000], 0.559；(50000, 100000], 0.468；(100000, 1000000], 0.403；(1000000, +∞), 0.364","GB"
"超低延时直播-亚太2区","[0, 10000], 0.988；(10000, 50000], 0.91；(50000, 100000], 0.845；(100000, 1000000], 0.728；(1000000, +∞), 0.676","GB"
"超低延时直播-亚太3区","[0, 10000], 0.91；(10000, 50000], 0.832；(50000, 100000], 0.728；(100000, 1000000], 0.65；(1000000, +∞), 0.572","GB"
"超低延时直播-欧洲","[0, 10000], 0.572；(10000, 50000], 0.507；(50000, 100000], 0.403；(100000, 1000000], 0.26；(1000000, +∞), 0.208","GB"
"超低延时直播-中东","[0, 10000], 1.56；(10000, 50000], 1.43；(50000, 100000], 1.339；(100000, 1000000], 1.235；(1000000, +∞), 1.105","GB"
"超低延时直播-北美","[0, 10000], 0.572；(10000, 50000], 0.559；(50000, 100000], 0.468；(100000, 1000000], 0.403；(1000000, +∞), 0.364","GB"
"超低延时直播-南美","[0, 10000], 1.339；(10000, 50000], 1.274；(50000, 100000], 1.17；(100000, 1000000], 1.105；(1000000, +∞), 1.04","GB"
"超低延时直播-非洲","[0, 10000], 1.56；(10000, 50000], 1.43；(50000, 100000], 1.339；(100000, 1000000], 1.235；(1000000, +∞), 1.105","GB"
"超低延时直播-海外统一大区","[0, 10000], 0.988；(10000, 50000], 0.91；(50000, 100000], 0.845；(100000, 1000000], 0.728；(1000000, +∞), 0.676","GB"
,
,
,
区域,价格,单位
"标准直播-中国大陆","[0, 500], 0.66；(500, 5000], 0.6；(5000, 20000], 0.58；(20000, +∞), 0.56","Mbps"
"标准直播-亚太1区","[0, 500], 1.26；(500, 5000], 1.14；(5000, 20000], 1.05；(20000, +∞), 1","Mbps"
"标准直播-亚太2区","[0, 500], 3.7；(500, 5000], 3.33；(5000, 20000], 2.97；(20000, +∞), 2.6","Mbps"
"标准直播-亚太3区","[0, 500], 3.83；(500, 5000], 3.72；(5000, 20000], 3.42；(20000, +∞), 3.1","Mbps"
"标准直播-欧洲","[0, 500], 1.22；(500, 5000], 1.11；(5000, 20000], 1.034；(20000, +∞), 0.98","Mbps"
"标准直播-中东","[0, 500], 5.74；(500, 5000], 5.66；(5000, 20000], 5.54；(20000, +∞), 5.48","Mbps"
"标准直播-北美","[0, 500], 1.22；(500, 5000], 1.11；(5000, 20000], 1.034；(20000, +∞), 0.98","Mbps"
"标准直播-南美","[0, 500], 5.2；(500, 5000], 5.09；(5000, 20000], 4.96；(20000, +∞), 4.9","Mbps"
"标准直播-非洲","[0, 500], 5.74；(500, 5000], 5.66；(5000, 20000], 5.54；(20000, +∞), 5.48","Mbps"
"标准直播-海外统一大区","[0, 500], 3.7；(500, 5000], 3.33；(5000, 20000], 2.97；(20000, +∞), 2.6","Mbps"
"超低延时直播-中国大陆","[0, 500], 0.99；(500, 5000], 0.9；(5000, 20000], 0.87；(20000, +∞), 0.84","Mbps"
"超低延时直播-亚太1区","[0, 500], 1.89；(500, 5000], 1.71；(5000, 20000], 1.58；(20000, +∞), 1.5","Mbps"
"超低延时直播-亚太2区","[0, 500], 5.55；(500, 5000], 5；(5000, 20000], 4.46；(20000, +∞), 3.9","Mbps"
"超低延时直播-亚太3区","[0, 500], 5.75；(500, 5000], 5.58；(5000, 20000], 5.13；(20000, +∞), 4.65","Mbps"
"超低延时直播-欧洲","[0, 500], 1.83；(500, 5000], 1.67；(5000, 20000], 1.55；(20000, +∞), 1.47","Mbps"
"超低延时直播-中东","[0, 500], 8.61；(500, 5000], 8.49；(5000, 20000], 8.31；(20000, +∞), 8.22","Mbps"
"超低延时直播-北美","[0, 500], 1.83；(500, 5000], 1.67；(5000, 20000], 1.55；(20000, +∞), 1.47","Mbps"
"超低延时直播-南美","[0, 500], 7.8；(500, 5000], 7.64；(5000, 20000], 7.44；(20000, +∞), 7.35","Mbps"
"超低延时直播-非洲","[0, 500], 8.61；(500, 5000], 8.49；(5000, 20000], 8.31；(20000, +∞), 8.22","Mbps"
"超低延时直播-海外统一大区","[0, 500], 5.55；(500, 5000], 5；(5000, 20000], 4.46；(20000, +∞), 3.9","Mbps"
,
,
,
转码规格,单价,单位
"标准转码H.265-480P","0.085","分钟"
"标准转码H.265-720P","0.17","分钟"
"标准转码H.265-1080P","0.34","分钟"
"标准转码H.265-2K","0.68","分钟"
"标准转码H.265-4K","1.36","分钟"
"标准转码H.265-8K","4.9","分钟"
"标准转码H.264-480P","0.017","分钟"
"标准转码H.264-720P","0.033","分钟"
"标准转码H.264-1080P","0.065","分钟"
"标准转码H.264-2K","0.136","分钟"
"标准转码H.264-4K","0.272","分钟"
"标准转码H.264-8K","4.9","分钟"
"极智超清转码H.264-480P","0.07","分钟"
"极智超清转码H.264-720P","0.13","分钟"
"极智超清转码H.264-1080P","0.27","分钟"
"极智超清转码H.264-2K","0.54","分钟"
"极智超清转码H.264-4K","1.08","分钟"
"极智超清转码H.264-8K","3.24","分钟"
"极智超清转码H.265-480P","0.17","分钟"
"极智超清转码H.265-720P","0.34","分钟"
"极智超清转码H.265-1080P","0.68","分钟"
"极智超清转码H.265-2K","1.36","分钟"
"极智超清转码H.265-4K","2.72","分钟"
"极智超清转码H.265-8K","8.16","分钟"
"纯音频转码","0.01","分钟"
,
,
,
计费项,单价,单位
"直播录制路数日峰值","1","路"
,
,
,
计费项,单价,单位
"直播截图审核","1.8","千张"
,
,
,
计费项,单价,单位
"拉流转推使用时长","0.002","分钟"
"拉流转推第三方带宽","3","Mbps"
,
,
,
计费项,单价,单位
"直播SDK-基础版License","20000","年/个"
"直播SDK-高级版License","200000","年/个"
