计费项,计费说明,按量计费,单位,地域
"标准版实例","标准版实例创建成功后，按使用时长计费","1.97","个 / 小时","华东2（上海）"
"标准版实例","标准版实例创建成功后，按使用时长计费","1.97","个 / 小时","华南1（广州）"
"标准版实例","标准版实例创建成功后，按使用时长计费","1.97","个 / 小时","华北2（北京）"
"标准版实例","标准版实例创建成功后，按使用时长计费","2.7","个 / 小时","亚太东南（柔佛）"
"标准版实例","标准版实例创建成功后，按使用时长计费","2.7","个 / 小时","中国香港"
"标准版实例","标准版实例创建成功后，按使用时长计费","2.7","个 / 小时","亚太东南（雅加达）"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.51","GiB","亚太东南（雅加达）"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.75","GiB","中国香港"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.51","GiB","亚太东南（柔佛）"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.5","GiB","华北2（北京）"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.5","GiB","华南1（广州）"
"公网流出流量","通过公网推送或拉取容器镜像、Helm Chart 产生的公网流出流量费用","0.5","GiB","华东2（上海）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.0001889","GiB / 小时","亚太东南（雅加达）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.0001375","GiB / 小时","华东2（上海）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.0001375","GiB / 小时","华南1（广州）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.0001375","GiB / 小时","华北2（北京）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.0001889","GiB / 小时","亚太东南（柔佛）"
"存储空间","按镜像，Helm Chart 实际存储容量大小和时长计费","0.000189","GiB / 小时","中国香港"
