功能与计费项,高级版,企业版,说明
"基础价格","2,500元/月","9,000元/月","无"
"业务带宽","套餐默认包含 20 Mbps，可扩容范围：20 Mbps～10,000 Mbps","套餐默认包含 50 Mbps，可扩容范围：50 Mbps～10,000 Mbps","扩展费用： 50元/Mbps/月。"
"防护资产IP数","套餐默认包含 20 个公网 IP","套餐默认包含 50 个公网 IP","扩展费用： 50元/个/月。"
"白名单策略个数","50个","150个","无"
"日志审计","套餐默认不包含，可扩展范围为 1 TB ~ 500 TB","套餐默认不包含，可扩展范围为 1 TB ~ 500 TB","默认存储 7 天 的告警日志和流量审计日志，如需要更长时间日志存储或满足等保要求，需要开通日志分析功能。 日志分析的日志存储容量扩展费用：500 元 /TB/月"
"基础防御检测","支持","支持","无"
"智能防护检测","支持","支持","无"
"虚拟补丁检测","支持","支持","无"
"威胁情报检测","支持","支持","无"
"文件威胁检测","不支持","支持","无"
"邮件数据分析","不支持","支持","无"
"加密流量检测","不支持","支持","无"
"威胁感知","支持","支持","无"
"行为分析","支持","支持","无"
"主动威胁拦截","支持","支持","无"
"告警通知","支持","支持","无"
,
,
,
功能与计费项,价格说明,说明
"1 Gbps 探针","360,000 元/年，默认含 4 TB 日志存储","可支持 0-1 Gbps 流量大小检测"
"4 Gbps 探针","1,080,000 元/年，默认含 16 TB 日志存储","可支持 1-4 Gbps 流量大小检测"
"8 Gbps 探针","1,680,000 元/年，默认含 32 TB 日志存储","可支持 4-8 Gbps 流量大小检测"
"多云资产","默认包含 50000 个资产，拓展费用 1000 元/1000 个","可扩容 100,000 个"
"日志容量","不同探针规格默认包含一定日志容量，拓展费用 500 元/TB","可扩容 500 TB"
